R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
R02736	beta-D-glucose-6-phosphate:NADP+ 1-oxoreductase; beta-D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+
R02737	UDPglucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase; UDP-glucose + alpha-D-Glucose 6-phosphate <=> UDP + alpha,alpha'-Trehalose 6-phosphate
R02738	protein-N(pi)-phosphohistidine:D-glucose 6-phosphotransferase; Protein N(pi)-phospho-L-histidine + D-Glucose <=> Protein histidine + alpha-D-Glucose 6-phosphate
R02739	alpha-D-glucose 6-phosphate ketol-isomerase; alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate
R02740	alpha-D-glucose 6-phosphate ketol-isomerase; alpha-D-Glucose 6-phosphate <=> beta-D-Fructose 6-phosphate
R02741	gamma-L-glutamyl-L-cysteine:beta-alanine ligase (ADP-forming); ATP + gamma-L-Glutamyl-L-cysteine + beta-Alanine <=> ADP + Orthophosphate + gamma-L-Glutamyl-L-cysteinyl-beta-alanine
R02742	gamma-glutamylcysteine:NADP+ oxidoreductase; 2 gamma-L-Glutamyl-L-cysteine + NADP+ <=> Bis-gamma-glutamylcystine + NADPH + H+
R02743	gamma-L-glutamyl-L-cysteine gamma-glutamyl cyclotransferase (5-oxoproline-forming); gamma-L-Glutamyl-L-cysteine <=> 5-Oxoproline + L-Cysteine
R02744	sn-Glycero-3-phosphocholine + Carboxylate <=> 2-Acyl-sn-glycero-3-phosphocholine + H2O
R02745	1-(1-alkenyl)-sn-glycero-3-phosphocholine aldehydohydrolase; 1-(1-Alkenyl)-sn-glycero-3-phosphocholine + H2O <=> Aldehyde + sn-Glycero-3-phosphocholine
R02746	1-acyl-sn-glycero-3-phosphocholine acylhydrolase; 1-Acyl-sn-glycero-3-phosphocholine + H2O <=> sn-Glycero-3-phosphocholine + Fatty acid
R02747	2-acyl-sn-glycero-3-phosphocholine acylhydrolase; 2-Acyl-sn-glycero-3-phosphocholine + H2O <=> sn-Glycero-3-phosphocholine + Fatty acid
R02748	deoxyinosine:orthophosphate ribosyltransferase; Deoxyinosine + Orthophosphate <=> Hypoxanthine + 2-Deoxy-D-ribose 1-phosphate
R02749	2-deoxy-D-ribose 1-phosphate 1,5-phosphomutase; 2-Deoxy-D-ribose 1-phosphate <=> 2-Deoxy-D-ribose 5-phosphate
R02750	ATP:2-deoxy-D-ribose 5-phosphotransferase; 2-Deoxy-D-ribose 5-phosphate + ADP <=> Deoxyribose + ATP
R02751	deoxyribonucleotide 3'-phosphohydrolase; Deoxynucleoside 3'-phosphate + H2O <=> Deoxynucleoside + Orthophosphate
R02752	D-glucarate hydro-lyase; D-Glucarate <=> 5-Dehydro-4-deoxy-D-glucarate + H2O
R02754	5-dehydro-4-deoxy-D-glucarate tartronate-semialdehyde-lyase; 5-Dehydro-4-deoxy-D-glucarate <=> Pyruvate + 2-Hydroxy-3-oxopropanoate
R02755	meso-2,6-diaminoheptanedioate:NADP+ oxidoreductase (deaminating); meso-2,6-Diaminoheptanedioate + NADP+ + H2O <=> L-2-Amino-6-oxoheptanedioate + Ammonia + NADPH + H+
R02756	1-Acyl-sn-glycerol 3-phosphate + NADP+ <=> Acylglycerone phosphate + NADPH + H+
R02757	ATP:acylglycerol 3-phosphotransferase; ATP + 1-Acylglycerol <=> ADP + 1-Acyl-sn-glycerol 3-phosphate
R02758	ATP:acylglycerol 3-phosphotransferase; ATP + 2-Acylglycerol <=> ADP + 2-Acyl-sn-glycerol 3-phosphate
R02760	2,3-dehydroacyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase; 2,3-Dehydroacyl-CoA + 1-Acyl-sn-glycerol 3-phosphate <=> CoA + Phosphatidate
R02762	2-hydroxymuconate semialdehyde:NAD+ 6-oxidoreductase; 2-Hydroxymuconate semialdehyde + NAD+ + H2O <=> 2-Hydroxymuconate + NADH + H+
R02763	2-Hydroxymuconate semialdehyde + CO2 <=> 3-Carboxy-2-hydroxymuconate semialdehyde
R02764	(S)-methylmalonyl-CoA hydrolase; (S)-Methylmalonyl-CoA + H2O <=> Methylmalonate + CoA
R02765	methylmalonyl-CoA epimerase; (R)-Methylmalonyl-CoA <=> (S)-Methylmalonyl-CoA
R02766	(3R)-3-hydroxyacyl-[acyl-carrier-protein]:NAD+ oxidoreductase; (3R)-3-Hydroxyacyl-[acyl-carrier protein] + NAD+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADH + H+
R02767	(3R)-3-hydroxyacyl-[acyl-carrier-protein]:NADP+ oxidoreductase; (3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+
R02768	acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating); Acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> 3-Oxoacyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein
R02769	phosphoenolpyruvate:N-acyl-D-mannosamine-6-phosphate C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming); N-acylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating); N-Acylneuraminate 9-phosphate + Orthophosphate <=> N-Acyl-D-mannosamine 6-phosphate + Phosphoenolpyruvate + H2O
R02770	N-acyl-D-glucosamine 6-phosphate 2-epimerase; N-Acyl-D-mannosamine 6-phosphate <=> N-Acyl-D-glucosamine 6-phosphate
R02772	dTDP-4-acetamido-4,6-dideoxy-D-glucose:2-oxoglutarate aminotransferase; dTDP-4-acetamido-4,6-dideoxy-D-glucose + 2-Oxoglutarate + CoA <=> dTDP-4-oxo-6-deoxy-D-glucose + L-Glutamate + Acetyl-CoA
R02773	dTDP-4-amino-4,6-dideoxy-D-glucose:2-oxoglutarate aminotransferase; dTDP-4-amino-4,6-dideoxy-D-glucose + 2-Oxoglutarate <=> dTDP-4-oxo-6-deoxy-D-glucose + L-Glutamate
R02776	dTDP-6-deoxy-L-talose:NADP+ 4-oxidoreductase; dTDP-6-deoxy-beta-L-talose + NADP+ <=> dTDP-4-dehydro-beta-L-rhamnose + NADPH + H+
R02777	dTDP-beta-L-rhamnose:NADP+ 4-oxidoreductase; dTDP-6-deoxy-L-mannose:NADP+ 4-oxidoreductase; dTDP-L-rhamnose + NADP+ <=> dTDP-4-dehydro-beta-L-rhamnose + NADPH + H+
R02778	trehalose-6-phosphate phosphohydrolase; alpha,alpha'-Trehalose 6-phosphate + H2O <=> alpha,alpha-Trehalose + Orthophosphate
R02780	alpha,alpha-Trehalose + Protein N(pi)-phospho-L-histidine <=> alpha,alpha'-Trehalose 6-phosphate + Protein histidine
R02781	L-glutamine:2,4,6/3,5-pentahydroxycyclohexanone aminotransferase; L-Glutamine + 2,4,6/3,5-Pentahydroxycyclohexanone <=> 2-Oxoglutaramate + 1-Amino-1-deoxy-scyllo-inositol
R02782	2,4,6/3,5-pentahydroxycyclohexanone hydro-lyase; 2,4,6/3,5-Pentahydroxycyclohexanone <=> 3D-3,5/4-Trihydroxycyclohexane-1,2-dione + H2O
R02783	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase (ADP-forming); ATP + UDP-N-acetylmuramoyl-L-alanine + D-Glutamate <=> ADP + Orthophosphate + UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
R02786	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:L-lysine gamma-ligase (ADP-forming); UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:L-lysine ligase (ADP-forming); ATP + UDP-N-acetylmuramoyl-L-alanyl-D-glutamate + L-Lysine <=> ADP + Orthophosphate + UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine
R02788	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:(L)-meso-2,6-diaminoheptanedioate gamma-ligase (ADP-forming); UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-2,6-diaminoheptanedioate ligase (ADP-forming); ATP + UDP-N-acetylmuramoyl-L-alanyl-D-glutamate + meso-2,6-Diaminoheptanedioate <=> ADP + Orthophosphate + UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate
R02789	UDP-N-acetyl-alpha-D-glucosamine:beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R beta-1,3-acetyl-D-glucosaminyltransferase; UDP-N-acetyl-alpha-D-glucosamine + beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R <=> UDP + N-Acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-R
R02790	UDP-N-acetyl-D-glucosamine:beta-D-galactosyl-1,4-N-acetyl-D-glucosaminide beta-1,6-N-acetyl-D-glucosaminyltransferase; UDP-N-acetyl-alpha-D-glucosamine + beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R <=> UDP + N-Acetyl-beta-D-glucosaminyl-1,6-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-R
R02791	UDP-alpha-D-galactose:beta-D-galactosyl-(1->4)-beta-N-acetyl-D-glucosaminyl-R 3-alpha-D-galactosyltransferase; UDP-alpha-D-galactose + beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R <=> UDP + alpha-D-Galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-R
R02792	3alpha,7alpha,12alpha-trihydroxy-5beta-cholanate:NAD+ 7-oxidoreductase; Cholic acid + NAD+ <=> 7-Oxodeoxycholate + NADH + H+
R02793	3alpha,7alpha,12alpha-trihydroxy-5beta-cholanate:NADP+ 12-oxidoreductase; Cholic acid + NADP+ <=> 3alpha,7alpha-Dihydroxy-12-oxo-5beta-cholanate + NADPH + H+
R02794	cholate:CoA ligase (AMP-forming); ATP + Cholic acid + CoA <=> AMP + Diphosphate + Choloyl-CoA
R02797	taurocholate amidohydrolase; Taurocholate + H2O <=> Cholic acid + Taurine
R02798	Cholic acid <=> 3alpha,12alpha-Dihydroxy-5beta-chol-6-enoate + H2O
R02799	11-epi-prostaglandin F2alpha:NADP+ 11-oxidoreductase; 11-epi-Prostaglandin F2alpha + NADP+ <=> Prostaglandin D2 + H+ + NADPH
R02800	(5Z,13E)-(15S)-9alpha,15-dihydroxy-11-oxoprosta-5,13-dienoate:NADP+ 15-oxidoreductase; Prostaglandin D2 + NADP+ <=> (5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate + NADPH + H+
R02801	Prostaglandin D2 <=> Prostaglandin J2 + H2O
R02802	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); Nitrogen + 2 e- + 2 H+ <=> Diimine
R02804	nitrogen:ferricytochrome-c oxidoreductase (N2O-forming); Nitrogen + 2 Ferricytochrome c + H2O <=> Nitrous oxide + 2 Ferrocytochrome c + 2 H+
R02805	P1,P4-bis(5'-nucleosyl)-tetraphosphate nucleotidohydrolase; P1,P4-Bis(5'-xanthosyl) tetraphosphate + H2O <=> XTP + Xanthosine 5'-phosphate
R02806	nucleoside:purine(pyrimidine) deoxy-D-ribosyltransferase; Thymidine + Base <=> Deoxynucleoside + Thymine
R02807	Hg:NADP+ oxidoreductase; Hg + NADP+ + H+ <=> Mercury(2+) + NADPH
R02808	S-adenosyl-L-methionine:amine N-methyltransferase; S-Adenosyl-L-methionine + Amine <=> S-Adenosyl-L-homocysteine + Methylated amine
R02809	3'-phosphoadenylylsulfate:amine N-sulfotransferase; 3'-Phosphoadenylyl sulfate + Amine <=> Adenosine 3',5'-bisphosphate + Sulfamate
R02810	iodide:hydrogen-peroxide oxidoreductase; 2 Iodide + Hydrogen peroxide + 2 H+ <=> Iodine + 2 H2O
R02811	cyanohydrin ketone-lyase; Cyanohydrin <=> Ketone + Cyanide ion
R02813	(R)-10-hydroxystearate 10-hydro-lyase; (R)-10-Hydroxystearate <=> (9Z)-Octadecenoic acid + H2O
R02814	oleoyl-[acyl-carrier-protein] hydrolase; Oleoyl-[acyl-carrier protein] + H2O <=> Acyl-carrier protein + (9Z)-Octadecenoic acid
R02815	2-amino-4-hydroxypteridine aminohydrolase; Pterin + H2O <=> 2,4-Dihydroxypteridine + Ammonia
R02816	2-amino-4-hydroxypteridine:oxygen oxidoreductase (7-hydroxylating); Pterin + Oxygen <=> Isoxanthopterin
R02817	serine-phosphoethanolamine ethanolaminephosphohydrolase; L-Serine-phosphoethanolamine + H2O <=> L-Serine + Ethanolamine phosphate
R02818	Serine <=> Cysteine
R02819	alditol:NAD+ 1-oxidoreductase; Alditol + NAD+ <=> Aldose + NADH + H+
R02820	alditol:NADP+ 1-oxidoreductase; Alditol + NADP+ <=> Aldose + NADPH + H+
R02821	trimethylaminoacetate:L-homosysteine S-methyltransferase; Betaine + L-Homocysteine <=> N,N-Dimethylglycine + L-Methionine
R02822	epoxide hydrolase; Epoxide + H2O <=> Glycol
R02823	alkene,NADH:oxygen oxidoreductase (hydroxylating); Alkene + Oxygen + NADH + H+ <=> Epoxide + NAD+ + H2O
R02824	glutathione:insulin oxidoreductase; Insulin + 2 Glutathione <=> Reduced insulin + Glutathione disulfide
R02825	5-Aminopentanoate <=> D-Proline
R02826	aliphatic amide hydro-lyase; Aliphatic amide <=> Nitrile + H2O
R02827	acetaldehyde oxime hydro-lyase; Aldoxime <=> Nitrile + H2O
R02828	monocarboxylic acid amide hydro-lyase; Monocarboxylic acid amide <=> Nitrile + H2O
R02830	orcinol,NADH:oxygen oxidoreductase (2-hydroxylating); Orcinol + Oxygen + NADH + H+ <=> 2,3,5-Trihydroxytoluene + NAD+ + H2O
R02831	orsellinate carboxy-lyase; Orsellinate <=> Orcinol + CO2
R02832	pseudotropine:NADP+ 3-oxidoreductase; Tropine + NADP+ <=> Tropinone + NADPH + H+
R02833	chitosan N-acetylglucosaminohydrolase; Chitosan + H2O <=> D-Glucosaminide + Chitosan
R02834	cortisol:NAD+ 11-oxidoreductase; Cortisol + NAD+ <=> Cortisone + NADH + H+
R02836	cortisol:NADP+ 11-oxidoreductase; Cortisol + NADP+ <=> Cortisone + NADPH + H+
R02837	acetyl-CoA:cortisol O-acetyltransferase; Acetyl-CoA + Cortisol <=> CoA + Cortisol 21-acetate
R02838	21-deoxycortisol,NADPH-hemoprotein reductase:oxygen oxidoreductase (21-hydroxylating); 21-Deoxycortisol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Cortisol + [Oxidized NADPH---hemoprotein reductase] + H2O
R02839	3'-phosphoadenylylsulfate:cortisol 21-sulfotransferase; 3'-Phosphoadenylyl sulfate + Cortisol <=> Adenosine 3',5'-bisphosphate + Cortisol 21-sulfate
R02840	cortisol delta5-delat4-isomerase; 11beta,17alpha,21-trihydroxypregnenolone:NAD+ 3-oxidoreductase; Cortisol + H+ + NADH <=> 11beta,17alpha,21-Trihydroxypregnenolone + NAD+
R02841	11beta,17alpha,21-trihydroxy-5beta-pregnane-3,20-dione:NADP+ delta4-oxidoreductase; 3-oxo-5beta-steroid:NADP+ delta4-oxidoreductase; Dihydrocortisol + NADP+ <=> Cortisol + NADPH + H+
R02843	steroid,reduced ferredoxin:oxygen oxidoreductase (11-hydroxylating); 11-Deoxycortisol + 2 Reduced ferredoxin + Oxygen + 2 H+ <=> Cortisol + 2 Oxidized ferredoxin + H2O
R02846	cysteine hydrogen-sulfide-lyase (adding HCN); Cysteine + Cyanide ion <=> Hydrogen sulfide + 3-Cyano-L-alanine
R02847	D-aldose:NAD+ 1-oxidoreductase; D-Aldose + NAD+ <=> D-Aldonolactone + NADH + H+
R02848	ATP:D-hexose 6-phosphotransferase; ATP + D-Hexose <=> ADP + D-Hexose 6-phosphate
R02849	ITP:D-hexose 6-phosphotransferase; ITP + D-Hexose <=> IDP + D-Hexose 6-phosphate
R02850	dATP:D-hexose 6-phosphotransferase; dATP + D-Hexose <=> dADP + D-Hexose 6-phosphate
R02851	D-lysine:2-oxocarboxylate aminotransferase; D-Lysine + 2-Oxo acid <=> 6-Amino-2-oxohexanoate + D-Amino acid
R02852	D-2,6-diaminohexanoic acid 5,6-aminomutase; D-Lysine <=> (2R,5S)-2,5-Diaminohexanoate
R02853	D-O-phosphoserine phosphohydrolase; O-Phospho-D-serine + H2O <=> D-Serine + Orthophosphate
R02854	D-Serine + Amino acid(Arg-) <=> D-Lombricine + Ornithine
R02855	(R)-acetoin:NAD+ oxidoreductase; (R)-Acetoin + NAD+ <=> Diacetyl + NADH + H+
R02856	(R)-Acetoin + NADP+ <=> Diacetyl + NADPH + H+
R02857	Hydrofluoric acid + Glycolate <=> Fluoroacetate + H2O
R02858	S-adenosyl-L-methionine:macrocin 3'''-O-methyltransferase; S-Adenosyl-L-methionine + Macrocin <=> S-Adenosyl-L-homocysteine + Tylosin
R02859	S-adenosyl-L-methionine:demethylmacrocin 2'''-O-methyltransferase; S-Adenosyl-L-methionine + Demethylmacrocin <=> S-Adenosyl-L-homocysteine + Macrocin
R02860	nicotine:acceptor 6-oxidoreductase (hydroxylating); Nicotine + Acceptor + H2O <=> (S)-6-Hydroxynicotine + Reduced acceptor
R02861	Nicotine + CO2 + H+ <=> 1-Methylpyrrolinium + Nicotinate
R02862	S-adenosyl-L-methionine:pyridine N-methyltransferase; S-Adenosyl-L-methionine + Pyridine <=> S-Adenosyl-L-homocysteine + N-Methylpyridinium
R02863	thiamin:beta 2-methyl-4-aminopyrimidine-5-methenyltransferase; Thiamine + Pyridine <=> Heteropyrithiamine + 5-(2-Hydroxyethyl)-4-methylthiazole
R02864	S-adenosyl-L-methionine:uroporphyrin-III C-methyltransferase; Siroheme + 2 H+ <=> Fe2+ + Sirohydrochlorin
R02865	ATP:D-hexose 6-phosphotransferase; ATP + D-Sorbitol <=> ADP + Sorbitol 6-phosphate
R02866	sorbitol-6-phosphate phosphohydrolase; Sorbitol 6-phosphate + H2O <=> D-Sorbitol + Orthophosphate
R02867	ITP:D-hexose 6-phosphotransferase; ITP + D-Sorbitol <=> IDP + Sorbitol 6-phosphate
R02868	dATP:D-hexose 6-phosphotransferase; dATP + D-Sorbitol <=> dADP + Sorbitol 6-phosphate
R02869	S-adenosylmethioninamine:spermidine 3-aminopropyltransferase; S-Adenosylmethioninamine + Spermidine <=> 5'-Methylthioadenosine + Spermine
R02872	presqualene-diphosphate diphosphate-lyase (reducing, squalene-forming); Presqualene diphosphate + NADPH + H+ <=> Diphosphate + Squalene + NADP+
R02874	squalene,NADPH-hemoprotein:oxygen oxidoreductase (2,3-epoxidizing); Squalene + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> (S)-2,3-Epoxysqualene + [Oxidized NADPH---hemoprotein reductase] + H2O
R02875	squalene hydro-lyase (tetrahymanol forming); Squalene + H2O <=> Tetrahymanol
R02876	Squalene <=> Hopanoid
R02877	vanillyl alcohol:oxygen oxidoreductase; Vanillyl alcohol + Oxygen <=> 4-Hydroxy-3-methoxy-benzaldehyde + Hydrogen peroxide
R02878	1-octanol:NAD+ oxidoreductase; 1-Octanol + NAD+ <=> Octanal + NADH + H+
R02879	octane,reduced-rubredoxin:oxygen 1-oxidoreductase; Octane + 2 Reduced rubredoxin + Oxygen + 2 H+ <=> 1-Octanol + 2 Oxidized rubredoxin + H2O
R02880	(S)-tetrahydroberberine:oxigen oxidoreductase; (S)-Canadine + 2 Oxygen + H+ <=> Berberine + 2 Hydrogen peroxide
R02882	S-adenosyl-L-methionine:bergaptol O-methyltransferase; S-Adenosyl-L-methionine + Bergaptol <=> S-Adenosyl-L-homocysteine + Bergapten
R02884	ATP:caldesmon phosphotransferase (Ca2+/calmodulin-dependent); ATP + Caldesmon <=> ADP + Caldesmon phosphate
R02885	caldesmon-phosphate phosphohydrolase; Caldesmon phosphate + H2O <=> Caldesmon + Orthophosphate
R02886	1,4-(1,3;1,4)-beta-D-glucan 4-glucanohydrolase; Cellulose + H2O <=> Cellulose + Cellobiose
R02887	1,4-beta-D-glucan glucohydrolase; Cellodextrin + (n-2) H2O <=> (n-2) D-Glucose + Cellobiose
R02888	1,4-beta-D-oligo-D-glucan:orthophosphate alpha-D-glucosyltransferase; Cellulose + Orthophosphate <=> Cellulose + D-Glucose 1-phosphate
R02889	UDPglucose:1,4-beta-D-glucan 4-beta-D-glucosyltransferase; UDP-glucose + Cellulose <=> UDP + Cellulose
R02890	GDPglucose:1,4-beta-D-glucan 4-beta-D-glucosyltransferase; GDP + Cellulose <=> GDP-glucose + Cellulose
R02892	4,5alpha-dihydrocortisone:NADP+ delta4-oxidoreductase; 4,5alpha-Dihydrocortisone + NADP+ <=> Cortisone + NADPH + H+
R02893	17alpha,21-dihydroxy-5beta-pregnane-3,11,20-trione:NADP+ delta4-oxidoreductase; 17alpha,21-Dihydroxy-5beta-pregnane-3,11,20-trione + NADP+ <=> Cortisone + NADPH + H+
R02894	D-proline:oxygen oxidoreductase; D-Proline + Oxygen <=> 1-Pyrroline-2-carboxylate + Hydrogen peroxide
R02895	D-Proline + L-Glutamine <=> Linatine
R02896	D-iditol:NAD+ 2-oxidoreductase; D-Iditol + NAD+ <=> D-Sorbose + NADH + H+
R02897	UDPglucose:flavanone 7-O-beta-D-glucosyltransferase; UDP-glucose + Naringenin <=> UDP + Naringenin 7-O-beta-D-glucoside
R02898	flavanone lyase (decyclizing); Flavanone <=> 2'-Hydroxychalcone
R02899	sinapoyl-CoA:D-glucarate O-sinapoyltransferase; Sinapoyl-CoA + D-Glucarate <=> CoA + O-Sinapoylglucarate
R02901	phloretin acylhydrolase (phloroglucinol-forming); Phloretin + H2O <=> Phloretate + Phloroglucinol
R02902	Retinoate + UDP-glucuronate <=> all-trans-Retinoyl-beta-glucuronide + UDP
R02903	ATP:rhodopsin phosphotransferase; ATP + Rhodopsin <=> ADP + Phosphorhodopsin
R02904	Rhodopsin <=> 11-cis-Retinal
R02905	Rhodopsin + hn <=> Bathorhodopsin
R02906	scytalone:NADP+ delta5-oxidoreductase; Scytalone + NADP+ <=> 1,3,6,8-Naphthalenetetrol + NADPH + H+
R02907	scytalone 7,8-hydro-lyase; Scytalone <=> 1,3,8-Naphthalenertriol + H2O
R02908	5-hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing); Serotonin + H2O + Oxygen <=> 5-Hydroxyindoleacetaldehyde + Ammonia + Hydrogen peroxide
R02909	5-hydroxytryptamine:oxygen 2,3-dioxygenase (indole-decyclizing); Serotonin + Oxygen <=> Formyl-5-hydroxykynurenamine
R02910	S-adenosyl-L-methionine:amine N-methyltransferase; S-Adenosyl-L-methionine + Serotonin <=> S-Adenosyl-L-homocysteine + N-Methylserotonin
R02911	acetyl-CoA:aralkylamine N-acetyltransferase; Acetyl-CoA + Serotonin <=> CoA + N-Acetylserotonin
R02912	serotonin O-methyltransferase; Serotonin + 5-Methyltetrahydrofolate <=> 5-Methoxytryptamine + Tetrahydrofolate
R02914	4,5-dihydro-4-oxo-5-imidazolepropanoate hydro-lyase; 4-Imidazolone-5-propanoate <=> Urocanate + H2O
R02915	medicarpin:NADP+ 2'-oxidoreductase; Medicarpin + NADP+ + H2O <=> (-)-Vestitone + NADPH + H+
R02917	S-adenosyl-L-methionine:tRNA (guanosine-2'-O-)-methyltransferase; S-Adenosyl-L-methionine + tRNA guanine <=> S-Adenosyl-L-homocysteine + tRNA containing 2'-O-methylguanosine
R02918	L-tyrosine:tRNA(Tyr) ligase (AMP-forming); ATP + L-Tyrosine + tRNA(Tyr) <=> AMP + Diphosphate + L-Tyrosyl-tRNA(Tyr)
R02919	4-[(1R)-1-hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing); L-Adrenaline + H2O + Oxygen <=> 3,4-Dihydroxymandelaldehyde + Methylamine + Hydrogen peroxide
R02920	S-adenosyl-L-methionine:catechol O-methyltransferase; S-Adenosyl-L-methionine + L-Adrenaline <=> S-Adenosyl-L-homocysteine + L-Metanephrine
R02921	CTP:D-ribitol-5-phosphate cytidylyltransferase; CTP + D-Ribitol 5-phosphate <=> Diphosphate + CDP-ribitol
R02922	creatinine iminohydrolase; Creatinine + H2O <=> N-Methylhydantoin + Ammonia
R02923	D-arginine:oxygen oxidoreductase (deaminating); D-Arginine + H2O + Oxygen <=> 5-Guanidino-2-oxopentanoate + Ammonia + Hydrogen peroxide
R02924	D-arginine:2-oxoglutarate aminotransferase; D-Arginine + 2-Oxo acid <=> 5-Guanidino-2-oxopentanoate + D-Amino acid
R02925	D-sorbitol:(acceptor) 1-oxidoreductase; D-Sorbitol + FAD <=> FADH2 + L-Sorbose
R02926	melibiitol galactohydrolase; Melibiitol + H2O <=> D-Sorbitol + D-Galactose
R02927	ATP:D-tagatose 6-phosphotransferase; ATP + D-Tagatose <=> ADP + D-Tagatose 6-phosphate
R02928	galactitol:NAD+ 2-oxidoreductase; Galactitol + NAD+ <=> D-Tagatose + NADH + H+
R02929	L-glutamate:ethylamine ligase (ADP-forming); ATP + L-Glutamate + Ethylamine <=> ADP + Orthophosphate + N5-Ethyl-L-glutamine
R02930	N5-ethyl-L-glutamine amidohydrolase; N5-Ethyl-L-glutamine + H2O <=> L-Glutamate + Ethylamine
R02931	S-adenosyl-L-methionine: genistein 4'-O-methyltransferase; S-Adenosyl-L-methionine + Genistein <=> S-Adenosyl-L-homocysteine + Biochanin A
R02932	UDP-glucose:isoflavone 7-O-beta-D-glucosyltransferase; UDP-glucose + Genistein <=> UDP + Genistin
R02933	L-gulono-1,4-lactone lactonohydrolase; L-Gulono-1,4-lactone + H2O <=> L-Gulonate
R02934	nucleotide:nucleoside 5'-phosphotransferase; Nucleoside 5'-phosphate + Deoxynucleoside <=> Nucleoside + Deoxynucleoside 5'-phosphate
R02935	(S)-ureidoglycolate:NAD+ oxidoreductase; (S)-Ureidoglycolate + NAD+ <=> Oxalureate + NADH + H+
R02936	(S)-ureidoglycolate:NADP+ oxidoreductase; (S)-Ureidoglycolate + NADP+ <=> Oxalureate + NADPH + H+
R02937	carbamoyl-phosphate:oxamate carbamoyltransferase; Carbamoyl phosphate + Oxamate <=> Orthophosphate + Oxalureate
R02938	pentanamide amidohydrolase; Pentanamide + H2O <=> Pentanoate + Ammonia
R02940	2-propyn-1-al:NAD+ oxidoreductase; 2-Propynal + NAD+ + H2O <=> Propynoate + NADH + H+
R02941	salicylaldehyde:NAD+ oxidoreductase; Salicylaldehyde + NAD+ + H2O <=> Salicylate + NADH + H+
R02942	acetylsalicylate O-acetylhydrolase; Aspirin + H2O <=> Salicylate + Acetate
R02943	Tryptophan + Dimethylallyl diphosphate <=> Dimethylallyltryptophan + Diphosphate
R02944	(+)-borneol:NAD+ oxidoreductase; (+)-Borneol + NAD+ <=> (+)-Camphor + NADH + H+
R02945	(-)-borneol:NAD+ oxidoreductase; (-)-Borneol + NAD+ <=> (-)-Camphor + NADH + H+
R02946	(R,R)-butane-2,3-diol:NAD+ oxidoreductase; (R,R)-Butane-2,3-diol + NAD+ <=> (R)-Acetoin + NADH + H+
R02948	(S)-2-hydroxy-2-methyl-3-oxobutanoate carboxy-lyase; (S)-2-Acetolactate <=> (R)-Acetoin + CO2
R02949	(R)-acetoin racemase; (R)-Acetoin <=> (S)-Acetoin
R02950	4-coumarate:oxygen oxidoreductase; 4-Coumarate + Oxygen + Caffeate <=> Caffeate + H2O + Caffeoquinone
R02951	UDPglucose:trans-4-hydroxycinnamate 4-O-beta-D-glucosyltransferase; UDP-glucose + 4-Coumarate <=> UDP + 4-O-beta-D-Glucosyl-4-hydroxycinnamate
R02952	phenylacrylic acid decarboxylase; 4-Coumarate <=> 4-Hydroxystyrene + CO2
