Query_id,Subject_id,Identity,Align_length,Mismatch,Gap,Query_start,Query_end,Subject_start,Subject_end,E-value,Score
Sample1.776,abaa:IX88_03260,100,214,0,0,1,214,1,214,5.40E-118,429.1
Sample1.777,abaa:IX88_03255,99.4,155,1,0,1,155,1,155,4.70E-87,325.9
Sample1.778,abad:ABD1_01880,100,530,0,0,1,530,1,530,2.90E-298,1029.2
Sample1.779,abaa:IX88_03245,100,207,0,0,1,207,1,207,1.10E-112,411.4
Sample1.780,abaa:IX88_03240,99.4,463,3,0,1,463,1,463,7.00E-264,914.8
Sample1.781,abaa:IX88_03235,99.6,252,1,0,1,252,1,252,5.40E-149,532.3
Sample1.782,abaa:IX88_03230,100,351,0,0,1,351,1,351,1.30E-198,697.6
Sample1.783,abaj:BJAB0868_02380,96.5,376,13,0,1,376,1,376,8.10E-210,734.9
Sample1.784,abaa:IX88_13250,98.2,110,2,0,1,110,35,144,7.30E-58,228.4
Sample1.785,abaa:IX88_13255,100,126,0,0,1,126,1,126,1.60E-64,250.8
Sample1.786,abau:IX87_06710,99.8,432,1,0,1,432,1,432,1.50E-244,850.5
Sample1.787,abaa:IX88_13265,98.8,258,3,0,1,258,1,258,2.00E-143,513.8
Sample1.788,abaj:BJAB0868_02385,99,192,2,0,1,192,1,192,1.30E-107,394.4
Sample1.789,acb:A1S_2148,99.3,552,4,0,1,552,1,552,0.00E+00,1110.1
Sample1.790,abaj:BJAB0868_02387,99.7,378,1,0,1,378,1,378,3.50E-213,746.1
Sample1.791,abau:IX87_06735,99.6,256,1,0,1,256,1,256,1.50E-138,497.7
Sample1.792,abaa:IX88_13290,98.5,342,5,0,1,342,1,342,9.10E-192,674.9
Sample1.793,abaa:IX88_13295,99.7,324,1,0,1,324,1,324,5.10E-176,622.5
Sample1.794,abaj:BJAB0868_02391,100,279,0,0,1,279,1,279,1.60E-154,550.8
Sample1.795,abaj:BJAB0868_02392,99.6,271,1,0,1,271,1,271,3.20E-155,553.1
Sample1.796,abaa:IX88_13310,100,362,0,0,1,362,1,362,2.90E-204,716.5
Sample1.797,abh:M3Q_2603,100,279,0,0,1,279,1,279,8.00E-154,548.5
Sample1.798,abc:ACICU_02356,99,300,3,0,1,300,1,300,7.50E-166,588.6
Sample1.799,abaa:IX88_13325,100,140,0,0,1,140,1,140,3.50E-73,279.6
Sample1.800,abau:IX87_06695,98.6,210,3,0,1,210,360,569,1.40E-110,404.4
Sample1.801,acc:BDGL_001627,98.4,491,8,0,1,491,3,493,4.20E-267,925.6
Sample1.802,abad:ABD1_21390,98.4,183,3,0,1,183,495,677,3.30E-92,343.2
Sample1.803,abm:ABSDF1599,97,201,6,0,1,201,13,213,1.40E-104,384.4
Sample1.804,abb:ABBFA_001328,98.2,884,16,0,1,884,1,884,0.00E+00,1688.7
Sample1.805,abau:IX87_06675,98.7,238,3,0,1,238,1,238,2.00E-129,467.2
Sample1.806,abaz:P795_6275,97.5,474,12,0,1,474,1,474,9.40E-272,941
Sample1.807,abad:ABD1_21340,100,182,0,0,1,182,1,182,1.10E-103,381.3
Sample1.808,abaa:IX88_13210,100,211,0,0,1,211,1,211,1.70E-116,424.1
Sample1.809,abaa:IX88_13205,100,440,0,0,1,440,1,440,6.30E-246,855.1
Sample1.810,abm:ABSDF1607,99.9,906,1,0,1,906,1,906,0.00E+00,1801.6
Sample1.811,abau:IX87_06635,99.7,1501,5,0,1,1501,1,1501,0.00E+00,2938.7
Sample1.812,abaa:IX88_13190,100,66,0,0,1,66,1,66,1.30E-30,137.1
Sample1.813,kpa:KPNJ1_05535,57,440,188,1,1,439,1,440,1.30E-142,511.9
Sample1.814,aci:ACIAD0451,88.9,506,56,0,1,506,1,506,4.40E-275,952.2
Sample1.815,ctt:CtCNB1_3006,70.4,98,29,0,1,98,1,98,1.20E-32,144.4
Sample1.816,ctt:CtCNB1_3005,68.1,94,30,0,1,94,1,94,1.40E-28,131
Sample1.817,aby:p3ABAYE0073,96.2,288,11,0,1,288,6,293,3.70E-154,549.7
Sample1.818,aby:p3ABAYE0072,98,203,4,0,1,203,10,212,1.80E-107,394
Sample1.819,aby:p3ABAYE0071,99.5,191,1,0,1,191,1,191,3.60E-105,386.3
Sample1.820,abal:ABLAC_18920,97.1,1226,36,0,1,1226,1,1226,0.00E+00,2333.1
Sample1.821,abal:ABLAC_18930,85.6,1181,160,3,1,1180,1,1172,0.00E+00,2011.5
Sample1.822,cyq:Q91_1340,62.7,635,236,1,1,634,1,635,5.10E-244,849.4
Sample1.823,abal:ABLAC_18970,96.3,874,32,0,1,874,1,874,0.00E+00,1650.6
Sample1.824,abal:ABLAC_18980,100,84,0,0,1,84,1,84,6.80E-40,168.3
Sample1.825,abaa:IX88_11365,98.5,130,2,0,10,139,395,524,1.20E-65,254.6
Sample1.826,abaa:IX88_11360,99.3,298,2,0,1,298,1,298,1.40E-167,594.3
Sample1.827,abaa:IX88_11355,98.9,276,3,0,1,276,1,276,6.70E-161,572
Sample1.828,abad:ABD1_18570,99.5,412,2,0,1,412,1,412,5.70E-233,812
Sample1.829,abal:ABLAC_27080,98.9,355,4,0,1,355,1,355,8.50E-201,704.9
Sample1.830,abaa:IX88_11340,96.3,268,10,0,1,268,1,268,2.50E-144,516.9
Sample1.831,aby:ABAYE1734,96.6,145,5,0,1,145,1,145,3.00E-72,276.6
Sample1.832,abaa:IX88_11330,98.7,230,3,0,1,230,1,230,4.30E-129,466.1
Sample1.833,abaa:IX88_11325,97,401,12,0,1,401,1,401,8.30E-221,771.5
Sample1.834,abaz:P795_7765,99.5,182,1,0,1,182,1,182,4.80E-99,365.9
Sample1.835,abaj:BJAB0868_02060,99.1,339,3,0,1,339,1,339,2.30E-203,713.4
Sample1.836,abaa:IX88_11310,97.4,189,5,0,1,189,1,189,6.50E-99,365.5
Sample1.837,abaz:P795_7780,98.7,311,4,0,1,311,1,311,2.20E-176,623.6
Sample1.838,acb:A1S_1821,98.8,254,3,0,1,254,1,254,1.60E-137,494.2
Sample1.839,abaz:P795_7790,97.6,251,6,0,1,251,1,251,2.20E-134,483.8
Sample1.840,abad:ABD1_18450,100,303,0,0,7,309,1,303,1.90E-164,583.9
Sample1.841,abad:ABD1_18440,97.4,153,4,0,1,153,1,153,7.90E-79,298.5
Sample1.842,abad:ABD1_18430,98.7,607,8,0,1,607,1,607,0.00E+00,1214.9
Sample1.843,abad:ABD1_18420,98.6,363,5,0,1,363,1,363,5.10E-209,732.3
Sample1.844,abab:BJAB0715_02077,100,72,0,0,1,72,386,457,8.70E-36,154.5
Sample1.845,abad:ABD1_18410,98.7,542,7,0,1,542,1,542,4.4e-310,1068.5
Sample1.846,abad:ABD1_11440,100,100,0,0,1,100,45,144,6.40E-53,211.8
Sample1.847,abau:IX87_04950,99.5,213,1,0,1,213,1,213,8.60E-124,448.4
Sample1.848,abad:ABD1_11460,100,156,0,0,1,156,1,156,3.50E-82,309.7
Sample1.849,abau:IX87_05990,99.4,475,3,0,1,475,1,475,2.20E-281,973
Sample1.850,abal:ABLAC_15150,99.4,483,3,0,1,483,1,483,5.80E-285,984.9
Sample1.851,abau:IX87_00075,97.8,367,8,0,1,367,1,367,3.20E-203,713
Sample1.852,abx:ABK1_2637,96.2,104,4,0,1,104,1,104,6.80E-50,201.8
Sample1.853,abau:IX87_00055,99.2,255,2,0,1,255,1,255,3.50E-140,503.1
Sample1.854,abad:ABD1_10260,100,310,0,0,1,310,9,318,2.70E-174,616.7
Sample1.855,abc:ACICU_02735,89.1,221,24,0,1,221,1,221,1.10E-105,388.3
Sample1.856,abal:ABLAC_15230,100,129,0,0,1,129,1,129,2.20E-66,256.9
Sample1.857,abw:BL01_14710,95.9,122,5,0,1,122,1,122,1.10E-62,244.6
Sample1.858,abaa:IX88_12460,90.5,137,13,0,1,137,1,137,1.40E-66,257.7
Sample1.859,abaa:IX88_12455,90.2,122,12,0,1,122,1,122,6.10E-58,228.8
Sample1.860,abz:ABZJ_02350,97.1,136,4,0,1,136,23,158,1.20E-70,271.2
Sample1.861,abz:ABZJ_02348,98.3,117,2,0,1,117,1,117,2.40E-59,233.4
Sample1.862,abx:ABK1_2626,88.2,321,38,0,1,321,1,321,4.10E-162,576.2
Sample1.863,acb:A1S_2022,98.6,73,1,0,1,73,294,366,2.20E-34,149.8
Sample1.864,abz:ABZJ_02346,98.4,305,5,0,1,305,1,305,1.10E-167,594.7
Sample1.865,abau:IX87_04850,98.2,171,3,0,1,171,1,171,2.50E-89,333.6
Sample1.866,abx:ABK1_1554,99.3,147,1,0,1,147,1,147,2.40E-77,293.5
Sample1.867,abx:ABK1_2609,84.7,118,18,0,14,131,24,141,1.50E-49,201.1
Sample1.868,abx:ABK1_2608,100,76,0,0,11,86,1,76,2.20E-33,146.7
Sample1.869,abx:ABK1_2607,99.6,284,1,0,16,299,1,284,1.80E-159,567.4
Sample1.870,abx:ABK1_2606,99.5,191,1,0,9,199,1,191,3.20E-104,383.3
Sample1.871,abx:ABK1_2605,100,257,0,0,1,257,1,257,3.80E-142,509.6
Sample1.872,abab:BJAB0715_01217,97.7,470,11,0,1,470,1,470,6.30E-268,928.3
Sample1.873,abab:BJAB0715_03021,99.5,201,1,0,1,201,1,201,1.80E-110,404.1
Sample1.874,abaj:BJAB0868_02860,99.6,260,1,0,1,260,1,260,3.60E-140,503.1
Sample1.875,abm:ABSDF0839,98.5,200,3,0,1,200,1,200,2.40E-104,383.6
Sample1.876,abaj:BJAB0868_02858,98.4,385,6,0,1,385,1,385,5.90E-216,755.4
Sample1.877,abad:ABD1_25940,99.6,802,3,0,1,802,1,802,0.00E+00,1639.8
Sample1.878,abau:IX87_09705,99.2,263,2,0,1,263,1,263,9.20E-144,515
Sample1.879,abaa:IX88_16220,99.1,111,1,0,1,111,20,130,5.60E-58,228.8
Sample1.880,abb:ABBFA_000839,99.2,355,3,0,1,355,1,355,3.60E-199,699.5
Sample1.881,abaa:IX88_16210,98.8,324,4,0,1,324,1,324,1.40E-181,641
Sample1.882,abab:BJAB0715_03011,100,326,0,0,1,326,1,326,1.10E-183,647.9
Sample1.883,abaa:IX88_16200,100,462,0,0,1,462,1,462,1.20E-260,904
Sample1.884,abab:BJAB0715_03008,100,492,0,0,1,492,1,492,8.50E-284,981.1
Sample1.885,abm:ABSDF0849,98.8,81,1,0,1,81,1,81,8.80E-37,157.9
Sample1.886,abaj:BJAB0868_02846,100,416,0,0,1,416,1,416,8.60E-237,824.7
Sample1.887,abaa:IX88_16180,99.6,281,1,0,1,281,1,281,3.10E-161,573.2
Sample1.888,abad:ABD1_25830,99,207,2,0,1,207,1,207,8.10E-111,405.2
Sample1.889,abaa:IX88_16170,99.7,308,1,0,1,308,1,308,2.00E-174,617.1
Sample1.890,abaa:IX88_16165,100,249,0,0,1,249,1,249,1.40E-130,471.1
Sample1.891,abaa:IX88_16160,100,310,0,0,1,310,1,310,5.00E-165,585.9
Sample1.892,abad:ABD1_28350,98.6,442,6,0,1,442,1,442,1.20E-255,887.5
Sample1.893,abaa:IX88_17640,99.2,254,2,0,1,254,1,254,1.20E-148,531.2
Sample1.894,abaa:IX88_17645,99.8,592,1,0,1,592,1,592,0.00E+00,1181.8
Sample1.895,abaz:P795_2685,100,72,0,0,1,72,1,72,1.50E-32,143.7
Sample1.896,abaz:P795_2680,96.5,311,11,0,1,311,1,311,2.00E-174,617.1
Sample1.897,abaz:P795_2675,90.9,339,31,0,1,339,1,339,1.80E-179,634
Sample1.898,abaz:P795_16925,92.3,181,14,0,1,181,1,181,7.20E-95,352.1
Sample1.899,abaz:P795_16930,92.9,294,21,0,1,294,1,294,4.80E-157,559.3
Sample1.900,abaz:P795_16935,81.8,297,54,0,1,297,1,297,3.50E-139,500
Sample1.901,abaz:P795_16940,89.3,355,38,0,1,355,1,355,1.30E-188,664.5
Sample1.902,abaz:P795_2630,85.6,347,50,0,1,347,1,347,1.20E-167,594.7
Sample1.903,abaa:IX88_17685,98.8,325,4,0,1,325,1,325,3.80E-179,632.9
Sample1.904,abaa:IX88_17690,99.3,269,2,0,1,269,1,269,3.50E-154,549.7
Sample1.905,abad:ABD1_28470,99.7,295,1,0,1,295,1,295,1.40E-164,584.3
Sample1.906,abab:BJAB0715_03307,100,308,0,0,1,308,1,308,2.10E-179,633.6
Sample1.907,abab:BJAB0715_03308,100,916,0,0,1,916,1,916,0.00E+00,1798.9
Sample1.908,aby:ABAYE0575,99.3,444,3,0,1,444,1,444,2.20E-254,883.2
Sample1.909,abc:ACICU_03158,84.1,69,11,0,1,69,1,69,2.10E-26,123.2
Sample1.910,aby:ABAYE0545,49.4,263,128,4,1,259,1,262,5.20E-62,243.4
Sample1.911,abab:BJAB0715_02293,98,446,9,0,1,446,1,446,3.10E-256,889.4
Sample1.912,abaj:BJAB0868_02279,99.8,557,1,0,1,557,1,557,0.00E+00,1137.1
Sample1.913,abaa:IX88_12725,100,342,0,0,1,342,1,342,2.30E-203,713.4
Sample1.914,abaa:IX88_12730,99.7,376,1,0,1,376,1,376,5.60E-211,738.8
Sample1.915,aby:ABAYE1526,100,353,0,0,1,353,1,353,5.80E-202,708.8
Sample1.916,abaa:IX88_12740,100,167,0,0,1,167,1,167,1.60E-93,347.4
Sample1.917,abaz:P795_6740,99.3,432,3,0,1,432,1,432,1.30E-248,864
Sample1.918,abau:IX87_06215,100,385,0,0,1,385,1,385,1.20E-216,757.7
Sample1.919,abaa:IX88_12755,100,144,0,0,1,144,1,144,5.90E-76,288.9
Sample1.920,abad:ABD1_20510,99.2,742,6,0,1,742,1,742,0.00E+00,1543.9
Sample1.921,aby:ABAYE1519,96.6,710,4,1,1,690,1,710,0.00E+00,1337.8
Sample1.922,abab:BJAB0715_02308,99,492,5,0,1,492,1,492,4.40E-272,942.2
Sample1.923,abal:ABLAC_14680,100,192,0,0,1,192,1,192,1.30E-102,377.9
Sample1.924,abaa:IX88_12795,98.8,419,5,0,1,419,1,419,3.30E-244,849.4
Sample1.925,abab:BJAB0715_02311,99.6,284,1,0,1,284,1,284,4.50E-160,569.3
Sample1.926,abau:IX87_06260,100,463,0,0,1,463,1,463,7.10E-256,888.3
Sample1.927,abab:BJAB0715_02313,99.2,239,2,0,1,239,1,239,8.70E-125,451.8
Sample1.928,cbc:CbuK_0127,85.3,319,47,0,9,327,1,319,1.10E-149,535
Sample1.929,abab:BJAB0715_02017,98.3,464,8,0,1,464,1,464,2.10E-268,929.9
Sample1.930,abm:ABSDF1963,98.8,255,3,0,1,255,15,269,6.60E-139,498.8
Sample1.931,abau:IX87_20340,99,497,5,0,1,497,1,497,6.80E-289,998
Sample1.932,abau:IX87_20345,100,294,0,0,1,294,1,294,3.80E-162,576.2
Sample1.933,abau:IX87_20350,96.7,269,7,1,3,269,1,269,4.80E-148,529.3
Sample1.934,abau:IX87_20355,96.2,262,10,0,1,262,1,262,4.70E-148,529.3
Sample1.935,abad:ABD1_18100,98.8,163,2,0,1,163,1,163,9.60E-91,338.2
Sample1.936,abab:BJAB0715_02043,100,254,0,0,1,254,1,254,2.00E-143,513.8
Sample1.937,abm:ABSDF1954,99.1,338,3,0,1,338,1,338,2.90E-190,669.8
Sample1.938,abab:BJAB0715_02045,98.2,339,6,0,1,339,1,339,1.80E-184,650.6
Sample1.939,cbu:CBU_1829,68.3,186,59,0,17,202,24,209,2.90E-71,273.9
Sample1.940,abab:BJAB0715_02047,100,350,0,0,1,350,1,350,1.80E-203,713.8
Sample1.941,abd:ABTW07_2087,99.6,226,1,0,1,226,14,239,1.40E-119,434.5
Sample1.942,abaa:IX88_11130,99.4,164,1,0,1,164,1,164,8.20E-90,335.1
Sample1.943,abaa:IX88_11135,100,294,0,0,1,294,1,294,2.40E-161,573.5
Sample1.944,abb:ABBFA_001671,99.7,290,1,0,1,290,1,290,3.90E-159,566.2
Sample1.945,abaj:BJAB0868_02019,99.3,458,3,0,1,458,1,458,1.00E-259,901
Sample1.946,abb:ABBFA_001669,100,323,0,0,1,323,1,323,6.40E-179,632.1
Sample1.947,abaa:IX88_11155,100,311,0,0,1,311,1,311,5.40E-175,619
Sample1.948,acb:A1S_1794,99.5,391,2,0,1,391,1,391,6.20E-221,771.9
Sample1.949,abaa:IX88_11165,99.8,595,1,0,1,595,1,595,0.00E+00,1200.7
Sample1.950,cbu:CBU_1828,69.2,383,117,1,3,384,32,414,2.50E-153,547.4
Sample1.951,abaj:BJAB0868_02025,98.1,525,10,0,1,525,1,525,9.70E-294,1014.2
Sample1.952,abaa:IX88_11175,99.5,206,1,0,1,206,1,206,9.50E-112,408.3
Sample1.953,abab:BJAB0715_02057,100,280,0,0,1,280,1,280,3.50E-157,559.7
Sample1.954,abaa:IX88_15200,98,394,8,0,1,394,149,542,5.70E-222,775.4
Sample1.955,abau:IX87_08650,99.3,289,2,0,1,289,1,289,6.80E-164,582
Sample1.956,abaz:P795_5030,99.7,383,1,0,1,383,1,383,3.70E-226,789.3
Sample1.957,abaa:IX88_15180,98.5,536,8,0,1,536,1,536,1.00E-290,1004.2
Sample1.958,abab:BJAB0715_02779,97.4,531,14,0,1,531,1,531,6.10E-288,995
Sample1.959,acc:BDGL_001862,98.4,244,4,0,1,244,1,244,2.90E-139,500
Sample1.960,cbc:CbuK_0123,71.7,357,100,1,1,357,25,380,6.20E-143,512.7
Sample1.961,abaz:P795_5055,96.5,257,9,0,1,257,1,257,5.10E-139,499.2
Sample1.962,acb:A1S_2372,99,389,4,0,1,389,1,389,1.80E-220,770.4
Sample1.963,abaa:IX88_15155,99.8,415,1,0,1,415,1,415,2.30E-237,826.6
Sample1.964,abaa:IX88_15150,99.7,357,1,0,1,357,1,357,1.30E-204,717.6
Sample1.965,abad:ABD1_23650,99.2,264,2,0,1,264,1,264,3.60E-148,529.6
Sample1.966,abaa:IX88_15140,100,156,0,0,1,156,1,156,2.50E-80,303.5
Sample1.967,abb:ABBFA_001075,99.5,630,3,0,1,630,1,630,0.00E+00,1297.7
Sample1.968,abk:LX00_13050,98.4,383,6,0,1,383,1,383,1.30E-218,764.2
Sample1.969,abaa:IX88_15125,100,184,0,0,1,184,1,184,1.80E-98,364
Sample1.970,abaa:IX88_15120,97.8,499,11,0,1,499,1,499,2.00E-280,969.9
Sample1.971,cbc:CbuK_0122,64.3,263,93,1,1,263,13,274,1.50E-93,348.2
Sample1.972,abaj:BJAB0868_02599,98.7,791,10,0,1,791,1,791,0.00E+00,1572.8
Sample1.973,abm:ABSDF1160,99.1,327,3,0,1,327,1,327,2.90E-187,659.8
Sample1.974,abaa:IX88_15105,99.6,231,1,0,1,231,1,231,8.40E-125,451.8
Sample1.975,abab:BJAB0715_02764,99.6,268,1,0,1,268,1,268,9.10E-147,525
Sample1.976,abab:BJAB0715_02763,99.7,349,1,0,1,349,3,351,3.50E-191,672.9
Sample1.977,plf:PANA5342_1598,42.4,217,124,1,1,217,1,216,5.30E-44,183.3
Sample1.978,sfe:SFxv_2336,50.4,405,201,0,1,405,1,405,4.10E-114,417.2
Sample1.979,aci:ACIAD0080,75.1,181,44,1,1,180,1,181,1.00E-77,295
Sample1.980,aci:ACIAD0079,87.4,293,37,0,5,297,6,298,3.50E-147,526.6
Sample1.981,aci:ACIAD0078,65.2,302,104,1,1,301,1,302,2.20E-109,401
Sample1.982,aci:ACIAD0076,86.8,355,47,0,1,355,2,356,2.30E-182,643.7
Sample1.983,abh:M3Q_284,93.6,425,27,0,1,425,1,425,2.20E-227,793.5
Sample1.984,abh:M3Q_283,97,366,11,0,1,366,15,380,2.50E-200,703.4
Sample1.985,abh:M3Q_282,95.1,142,7,0,1,142,1,142,6.40E-75,285.4
Sample1.986,abh:M3Q_281,94.7,731,39,0,1,731,1,731,0.00E+00,1358.2
Sample1.987,acb:A1S_0048,99.6,240,1,0,1,240,5,244,5.70E-132,475.7
Sample1.988,abaj:BJAB0868_00086,99.1,231,2,0,1,231,1,231,9.30E-124,448.4
Sample1.989,abab:BJAB0715_00086,100,513,0,0,1,513,1,513,4.00E-292,1008.8
Sample1.990,abw:BL01_01485,99.5,189,1,0,1,189,1,189,1.40E-106,391
Sample1.991,abw:BL01_01490,99.6,281,1,0,1,281,1,281,7.50E-152,542
Sample1.992,abaa:IX88_02545,100,55,0,0,5,59,1,55,1.50E-22,110.2
Sample1.993,abaa:IX88_02540,99.7,722,2,0,1,722,1,722,0.00E+00,1488.8
Sample1.994,abaa:IX88_02530,100,238,0,0,1,238,1,238,6.90E-130,468.8
Sample1.995,abab:BJAB0715_00079,99.5,382,2,0,1,382,1,382,7.90E-229,798.1
Sample1.996,abaa:IX88_02520,99.1,341,3,0,1,341,1,341,2.80E-193,679.9
Sample1.997,abaa:IX88_02515,100,212,0,0,1,212,1,212,7.30E-115,418.7
Sample1.998,abaa:IX88_02510,100,215,0,0,1,215,1,215,6.70E-116,422.2
Sample1.999,abaa:IX88_02505,100,205,0,0,1,205,1,205,1.00E-113,414.8
Sample1.1000,abab:BJAB0715_00074,100,237,0,0,1,237,1,237,8.30E-136,488.4
Sample1.1001,abz:ABZJ_00058,99.1,233,2,0,1,233,1,233,3.70E-128,463
Sample1.1002,abaa:IX88_02490,100,248,0,0,1,248,1,248,1.00E-136,491.5
Sample1.1003,abaa:IX88_02485,100,136,0,0,1,136,1,136,2.00E-78,297
Sample1.1004,abaj:BJAB0868_00069,100,106,0,0,1,106,1,106,3.50E-57,226.1
Sample1.1005,abaa:IX88_02470,100,451,0,0,1,451,1,451,1.90E-261,906.7
Sample1.1006,abn:AB57_3790,99.5,611,3,0,1,611,1,611,0.00E+00,1244.2
Sample1.1007,abz:ABZJ_03727,99.1,332,3,0,1,332,1,332,1.70E-187,660.6
Sample1.1008,abad:ABD1_32320,99.5,365,2,0,1,365,1,365,6.50E-204,715.3
Sample1.1009,abaa:IX88_01460,100,482,0,0,1,482,1,482,1.60E-274,950.3
Sample1.1010,abaa:IX88_01455,99.4,308,2,0,1,308,1,308,1.90E-172,610.5
Sample1.1011,abab:BJAB0715_03714,100,284,0,0,1,284,1,284,7.60E-160,568.5
Sample1.1012,abaa:IX88_01445,100,420,0,0,1,420,1,420,7.40E-236,821.6
Sample1.1013,abaa:IX88_01440,100,391,0,0,1,391,1,391,7.60E-219,765
Sample1.1014,abaa:IX88_01435,100,300,0,0,1,300,1,300,1.60E-168,597.4
Sample1.1015,abaa:IX88_01430,100,146,0,0,1,146,1,146,1.30E-75,287.7
Sample1.1016,abaa:IX88_01425,99.6,230,1,0,1,230,1,230,8.70E-130,468.4
Sample1.1017,abaa:IX88_01420,100,905,0,0,1,905,1,905,0.00E+00,1834.7
Sample1.1018,abb:ABBFA_000155,100,659,0,0,1,659,1,659,0.00E+00,1249.2
Sample1.1019,abaa:IX88_01410,100,90,0,0,1,90,1,90,4.40E-45,185.7
Sample1.1020,abaz:P795_0795,100,191,0,0,1,191,1,191,1.60E-100,370.9
Sample1.1021,abaa:IX88_01400,99.2,721,6,0,1,721,1,721,0.00E+00,1437.9
Sample1.1022,abad:ABD1_32180,100,265,0,0,1,265,1,265,1.40E-152,544.3
Sample1.1023,abab:BJAB0715_03702,100,121,0,0,1,121,1,121,2.70E-66,256.5
Sample1.1024,abaa:IX88_01385,100,488,0,0,1,488,1,488,4.30E-272,942.2
Sample1.1025,abm:ABSDF3448,100,445,0,0,1,445,1,445,3.20E-253,879.4
Sample1.1026,abab:BJAB0715_03699,100,218,0,0,1,218,1,218,1.60E-125,454.1
Sample1.1027,abab:BJAB0715_03698,99.8,566,1,0,1,566,1,566,0.00E+00,1117.8
Sample1.1028,abaa:IX88_01365,100,255,0,0,1,255,1,255,1.10E-144,518.1
Sample1.1029,abaa:IX88_01360,100,310,0,0,1,310,1,310,2.00E-174,617.1
Sample1.1030,abab:BJAB0715_03694,100,100,0,0,1,100,1,100,4.60E-51,205.7
Sample1.1031,abaa:IX88_01350,100,352,0,0,1,352,1,352,1.60E-199,700.7
Sample1.1032,abau:IX87_13580,99.5,430,2,0,1,430,1,430,3.50E-249,865.9
Sample1.1033,abaj:BJAB0868_03557,98.7,235,3,0,1,235,1,235,1.30E-128,464.5
Sample1.1034,abaa:IX88_01335,99.7,326,1,0,1,326,1,326,3.40E-180,636.3
Sample1.1035,abaa:IX88_01330,99.5,191,1,0,1,191,1,191,2.30E-104,383.6
Sample1.1036,abad:ABD1_32040,100,649,0,0,1,649,1,649,0.00E+00,1337.8
Sample1.1037,abal:ABLAC_01910,98.9,180,2,0,1,180,1,180,1.40E-95,354.4
Sample1.1038,abad:ABD1_32020,99.3,137,1,0,1,137,1,137,5.40E-71,272.3
Sample1.1039,abaj:BJAB0868_03550,100,370,0,0,1,370,1,370,6.50E-212,741.9
Sample1.1040,abaa:IX88_01305,100,245,0,0,1,245,1,245,9.90E-132,474.9
Sample1.1041,abaa:IX88_01300,100,216,0,0,1,216,1,216,1.90E-115,420.6
Sample1.1042,abd:ABTW07_3708,100,261,0,0,1,261,1,261,1.60E-148,530.8
Sample1.1043,abaa:IX88_01290,99.9,1165,1,0,1,1165,1,1165,0.00E+00,2307.3
Sample1.1044,abaa:IX88_01285,100,110,0,0,1,110,1,110,4.40E-55,219.2
Sample1.1045,abz:ABZJ_03687,100,578,0,0,1,578,1,578,0.00E+00,1118.6
Sample1.1046,abaa:IX88_01275,100,230,0,0,1,230,1,230,7.60E-126,455.3
Sample1.1047,abaj:BJAB0868_03542,99.7,655,2,0,1,655,1,655,0.00E+00,1307.7
Sample1.1048,abz:ABZJ_03684,100,304,0,0,1,304,1,304,3.80E-173,612.8
Sample1.1049,abaa:IX88_01260,99,310,3,0,1,310,1,310,1.10E-167,594.7
Sample1.1050,abaa:IX88_01260,100,257,0,0,1,257,312,568,1.80E-136,490.7
Sample1.1051,abad:ABD1_31900,99.8,944,2,0,1,944,1,944,0.00E+00,1879
Sample1.1052,abaa:IX88_01250,100,200,0,0,1,200,1,200,6.00E-111,405.6
Sample1.1053,abaj:BJAB0868_03536,99.7,325,1,0,1,325,1,325,3.40E-180,636.3
Sample1.1054,abad:ABD1_31870,100,117,0,0,1,117,1,117,1.50E-58,230.7
Sample1.1055,abaj:BJAB0868_03534,99,105,1,0,1,105,9,113,5.70E-52,208.8
Sample1.1056,abaa:IX88_01230,99.6,224,1,0,1,224,1,224,3.00E-127,459.9
Sample1.1057,abaj:BJAB0868_03532,100,360,0,0,1,360,1,360,1.20E-199,701
Sample1.1058,abaj:BJAB0868_03531,100,454,0,0,1,454,1,454,1.40E-248,864
Sample1.1059,abaa:IX88_01215,100,193,0,0,1,193,1,193,8.90E-112,408.3
Sample1.1060,abaj:BJAB0868_03529,100,107,0,0,1,107,1,107,5.80E-52,208.8
Sample1.1061,abh:M3Q_18,99.6,231,1,0,1,231,1,231,1.00E-125,454.9
Sample1.1062,abaa:IX88_01200,100,182,0,0,1,182,1,182,4.50E-97,359.4
Sample1.1063,abaa:IX88_01195,100,480,0,0,1,480,1,480,4.00E-278,962.2
Sample1.1064,abal:ABLAC_02190,99.6,514,2,0,1,514,1,514,1.80E-297,1026.5
Sample1.1065,abb:ABBFA_000200,99.5,430,2,0,1,430,1,430,6.80E-245,851.7
Sample1.1066,abau:IX87_13405,99.8,482,1,0,1,482,1,482,1.50E-272,943.7
Sample1.1067,abad:ABD1_31740,99.7,324,1,0,1,324,1,324,1.50E-183,647.5
Sample1.1068,abaa:IX88_01170,100,208,0,0,1,208,1,208,7.60E-117,425.2
Sample1.1069,abaa:IX88_01165,100,140,0,0,1,140,1,140,4.30E-80,302.8
Sample1.1070,abaa:IX88_00435,99.7,345,1,0,1,345,60,404,1.80E-195,687.2
Sample1.1071,abaa:IX88_00430,99.7,343,1,0,1,343,1,343,5.20E-195,685.6
Sample1.1072,abab:BJAB0715_03487,99.8,489,1,0,1,489,1,489,1.00E-281,974.2
