# Wildtype expression means: rows=genes, columns=intervention conditions
# Metric: WildtypeMean
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
trpE,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032
trpF,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006
trxA,-0.0097,-0.0097,-0.0097,-0.0097,-0.0097,-0.0097
trxB,0.0191,0.0191,0.0191,0.0191,0.0191,0.0191
trxC,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007
tsf,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021
tufA,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
tufB,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058
tycA,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086
tyrA,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003
uvrA,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157
uvrB,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004
uvrC,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008
valS,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
valT,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091
valU,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006
yceC,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073
yceD,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068
yceE,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016
yceF,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
yceG,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042
ycxC,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073
ycxD,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064
yflA,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011
yflB,-0.0060,-0.0060,-0.0060,-0.0060,-0.0060,-0.0060
yflC,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115
yflD,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073
yflE,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166
yhcN,-0.0183,-0.0183,-0.0183,-0.0183,-0.0183,-0.0183
yjbC,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
yjbD,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163
yjbE,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
yjbF,0.0176,0.0176,0.0176,0.0176,0.0176,0.0176
yoaA,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
yoaB,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021
yoaC,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103
yoaD,-0.0077,-0.0077,-0.0077,-0.0077,-0.0077,-0.0077
yoaE,-0.0229,-0.0229,-0.0229,-0.0229,-0.0229,-0.0229
yodA,-0.0093,-0.0093,-0.0093,-0.0093,-0.0093,-0.0093
yodB,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
yodC,-0.0088,-0.0088,-0.0088,-0.0088,-0.0088,-0.0088
yodD,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067
yodE,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105
yorM,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109
yqeA,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142
yqeB,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152
yqeC,-0.0015,-0.0015,-0.0015,-0.0015,-0.0015,-0.0015
yqeD,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087
yqeE,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118
ytrA,-0.0092,-0.0092,-0.0092,-0.0092,-0.0092,-0.0092
ytrB,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037
ytrC,-0.0080,-0.0080,-0.0080,-0.0080,-0.0080,-0.0080
ytrD,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133
ytrE,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078
ytrF,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026
ytrG,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073
ytrH,-0.0122,-0.0122,-0.0122,-0.0122,-0.0122,-0.0122
ytrI,-0.0180,-0.0180,-0.0180,-0.0180,-0.0180,-0.0180
ytrJ,-0.0044,-0.0044,-0.0044,-0.0044,-0.0044,-0.0044
yvaA,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006
yvaB,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008
yvaC,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009
yvaD,-0.0070,-0.0070,-0.0070,-0.0070,-0.0070,-0.0070
yvaE,-0.0217,-0.0217,-0.0217,-0.0217,-0.0217,-0.0217
yvbA,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009
yvbB,0.0077,0.0077,0.0077,0.0077,0.0077,0.0077
yvbC,-0.0024,-0.0024,-0.0024,-0.0024,-0.0024,-0.0024
yvbD,-0.0129,-0.0129,-0.0129,-0.0129,-0.0129,-0.0129
yvbE,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168
yvcA,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065
yvcB,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
yvcC,-0.0132,-0.0132,-0.0132,-0.0132,-0.0132,-0.0132
yvcD,-0.0022,-0.0022,-0.0022,-0.0022,-0.0022,-0.0022
yvcE,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
yvdA,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055
yvdB,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133
yvdC,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087
yvdD,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059
yvdE,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042
yveA,-0.0038,-0.0038,-0.0038,-0.0038,-0.0038,-0.0038
yveB,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
yveC,-0.0055,-0.0055,-0.0055,-0.0055,-0.0055,-0.0055
yveD,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111
yveE,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
yvfA,-0.0193,-0.0193,-0.0193,-0.0193,-0.0193,-0.0193
yvfB,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135
yvfC,-0.0101,-0.0101,-0.0101,-0.0101,-0.0101,-0.0101
yvfD,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
yvfE,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062
yvgA,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
yvgB,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026
yvgC,-0.0163,-0.0163,-0.0163,-0.0163,-0.0163,-0.0163
yvgD,0.0195,0.0195,0.0195,0.0195,0.0195,0.0195
yvgE,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175
yvhA,-0.0047,-0.0047,-0.0047,-0.0047,-0.0047,-0.0047
yvhB,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109
yvhC,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045
yvhD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
yvhE,-0.0134,-0.0134,-0.0134,-0.0134,-0.0134,-0.0134
ywbA,-0.0188,-0.0188,-0.0188,-0.0188,-0.0188,-0.0188
ywbB,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036
ywbC,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132
ywbD,0.0259,0.0259,0.0259,0.0259,0.0259,0.0259
ywbE,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
ywnA,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026
ywnB,-0.0061,-0.0061,-0.0061,-0.0061,-0.0061,-0.0061
ywnC,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106
ywnD,-0.0046,-0.0046,-0.0046,-0.0046,-0.0046,-0.0046
ywnE,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059
yxiA,-0.0060,-0.0060,-0.0060,-0.0060,-0.0060,-0.0060
yxiB,-0.0089,-0.0089,-0.0089,-0.0089,-0.0089,-0.0089
yxiC,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057
yxiD,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098
yxiE,-0.0260,-0.0260,-0.0260,-0.0260,-0.0260,-0.0260
yxkA,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
yxkB,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042
yxkC,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079
yxkD,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082
yxkE,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084
znuA,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135
znuB,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081
znuC,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018
zur,-0.0030,-0.0030,-0.0030,-0.0030,-0.0030,-0.0030
