,kegg_code,organism,kingdom,lineage
T06518,niy,Nitratireductor mangrovi,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Nitratireductor
T07526,nki,Nitratireductor kimnyeongensis,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Nitratireductor
T09622,nrh,Nitratireductor rhodophyticola,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Nitratireductor
T09967,ntu,Nitratireductor thuwali,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Nitratireductor
T04603,meso,Aquibium oceanicum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Aquibium
T00374,mes,Chelativorans sp. BNC1,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Chelativorans
T09422,chea,Chelativorans sp. AA-79,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Chelativorans
T04343,aak,Aminobacter aminovorans,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Aminobacter
T05420,amih,Aminobacter sp. MSH1,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Aminobacter
T09420,amis,Aminobacter sp. Y103A,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Aminobacter
T09606,anj,Aminobacter niigataensis,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Aminobacter
T11159,amio,Aminobacter sp. NyZ550,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Aminobacter
T05167,pht,Phyllobacterium zundukense,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Phyllobacterium
T08362,phyl,Phyllobacterium sp. 628,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Phyllobacterium
T11258,pmel,Phyllobacterium meliloti,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Phyllobacterium
T11259,pped,Phyllobacterium pellucidum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Phyllobacterium
T05862,rpod,Roseitalea porphyridii,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Roseitalea
T06643,orm,Oricola thermophila,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Oricola
T10754,ost,Oceaniradius stylonematis,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Oceaniradius
T10849,amax,Ahrensia marina,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Ahrensia
T00580,pla,Parvibaculum lavamentivorans,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Parvibaculum
T06559,pmob,Pyruvatibacter mobilis,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Pyruvatibacter
T07196,kmn,Kaustia mangrovi,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Kaustia
T09856,pect,Candidatus Phaeomarinibacter ectocarpi,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Phaeomarinibacter
T05596,rbs,Rhodobiaceae bacterium SMS8,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;unclassified Rhodobiaceae
T00058,sme,Sinorhizobium meliloti 1021,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T01521,smk,Sinorhizobium meliloti AK83,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T01884,smq,Sinorhizobium meliloti BL225C,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T01885,smx,Sinorhizobium meliloti SM11,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T02332,smi,Sinorhizobium meliloti Rm41,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T02405,smeg,Sinorhizobium meliloti GR4,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T02497,smel,Sinorhizobium meliloti 2011,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T03395,smer,Sinorhizobium meliloti RMO17,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T00555,smd,Sinorhizobium medicae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T00888,rhi,Sinorhizobium fredii NGR234,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T01731,sfh,Sinorhizobium fredii HH103,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T02188,sfd,Sinorhizobium fredii USDA 257,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T04514,six,Sinorhizobium sp. RAC02,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T04621,same,Sinorhizobium americanum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T05069,sino,Sinorhizobium sp. CCBAU 05631,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T05052,esj,Sinorhizobium sojae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T06241,eak,Sinorhizobium alkalisoli,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T06706,emx,Sinorhizobium mexicanum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T09000,enu,Sinorhizobium numidicum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T09001,egi,Sinorhizobium garamanticum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T09063,skm,Sinorhizobium kummerowiae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T09097,steg,Sinorhizobium terangae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T11111,schp,Sinorhizobium chiapasense,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T11548,spre,Sinorhizobium prairiense,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Sinorhizobium
T03054,ead,Ensifer adhaerens OV14,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Ensifer
T04507,eah,Ensifer adhaerens Casida A,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Ensifer
T09166,ecaa,Ensifer canadensis,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Ensifer
T09472,enp,Ensifer sp. PDNC004,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Ensifer
T10792,eaw,Ensifer aridi,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Ensifer
T00070,atu,Agrobacterium fabrum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T04213,ata,Agrobacterium tumefaciens S33,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T01432,agr,Agrobacterium tumefaciens H13-3,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T03816,atf,Agrobacterium tumefaciens Ach5,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T11332,arai,Agrobacterium radiobacter,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T04501,agc,Agrobacterium sp. RAC06,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T05906,agt,Agrobacterium sp. 33MFTa1.1,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T06268,alf,Agrobacterium larrymoorei,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T08058,arui,Agrobacterium rubi,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T08171,avq,Agrobacterium vaccinii,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T08809,avv,Agrobacterium vitis VAT03-9,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T08810,avf,Agrobacterium vitis VAR03-1,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T08921,asal,Agrobacterium salinitolerans,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T02867,rir,Agrobacterium pusense IRBG74,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T06598,rpus,Agrobacterium pusense CFBP5875,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T09081,acuc,Agrobacterium cucumeris,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T09300,aleg,Agrobacterium leguminum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T10431,agrc,Agrobacterium sp. CGMCC 11546,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T11288,agrz,Agrobacterium sp. 13-2099-1-2,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Agrobacterium
T00851,avi,Allorhizobium ampelinum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Allorhizobium
T00317,ret,Rhizobium etli CFN 42,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T00720,rec,Rhizobium etli CIAT 652,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T02778,rel,Rhizobium etli bv. mimosae Mim1,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T03667,rep,Rhizobium etli bv. phaseoli IE4803,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T03310,rei,Rhizobium etli bv. mimosae IE4771,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T00402,rle,Rhizobium johnstonii,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T00779,rlt,Rhizobium leguminosarum bv. trifolii WSM2304,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T00926,rlg,Rhizobium leguminosarum bv. trifolii WSM1325,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T03009,rlb,Rhizobium leguminosarum bv. trifolii WSM1689,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T03015,rlu,Rhizobium leguminosarum bv. trifolii CB782,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T02432,rtr,Rhizobium tropici,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T03046,rhl,Rhizobium favelukesii,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T03539,rga,Rhizobium gallicum bv. gallicum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T04420,rhn,Rhizobium sp. N1341,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T04590,rpha,Rhizobium phaseoli,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T04809,rhx,Rhizobium sp. N731,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T05451,rhv,Rhizobium sp. S41,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T05501,rhk,Rhizobium sp. Kim5,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T05681,rez,Rhizobium esperanzae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T05891,rjg,Rhizobium jaguaris,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T06097,rhr,Rhizobium sp. 11515TR,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T06285,rgr,Rhizobium grahamii,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T06438,rad,Rhizobium acidisoli,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T06770,roy,Rhizobium oryzihabitans,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T07009,rii,Rhizobium indicum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T07043,rhid,Rhizobium hidalgonense,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T07180,rbq,Rhizobium binae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T07189,rln,Rhizobium lentis,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T07228,rban,Rhizobium bangladeshense,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T07270,rrg,Rhizobium ruizarguesonis,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T07787,rls,Rhizobium lusitanum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T08393,rros,Rhizobium rosettiformans,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T08535,raw,Rhizobium anhuiense bv. trifolii,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T08545,rsul,Rhizobium sullae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T08814,rlw,Rhizobium laguerreae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T08971,rrho,Rhizobium rhododendri,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T08990,rtu,Rhizobium tumorigenes,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T09286,rct,Rhizobium croatiense,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T00850,ara,Rhizobium rhizogenes K84,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T04767,aro,Rhizobium rhizogenes K599,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T09359,rbw,Rhizobium brockwellii,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T09660,rif,Rhizobium indigoferae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T09950,rhiz,Rhizobium sp. BT03,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T10377,rhib,Rhizobium sp. AB2/73,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T11040,rhia,Rhizobium sp. ACO-34A,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T11041,rhiy,Rhizobium sp. Y9,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T11043,rhiw,Rhizobium sp. WYJ-E13,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T11088,rbin,Rhizobium binxianense,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T11439,rhip,Rhizobium sp. Pop5,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T11457,rhik,Rhizobium sp. K102,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T11552,rhis,Rhizobium sp. SRDI969,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T11601,rhio,Rhizobium sp. 32-5/1,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Rhizobium
T03208,ngl,Neorhizobium galegae bv. officinalis bv. officinalis HAMBI 1141,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Neorhizobium
T03244,ngg,Neorhizobium galegae bv. orientalis HAMBI 540,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Neorhizobium
T05626,neo,Neorhizobium sp. SOG26,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Neorhizobium
T05650,nen,Neorhizobium sp. NCHU2750,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Neorhizobium
T09021,npm,Neorhizobium petrolearium,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Neorhizobium
T04765,rht,Pseudorhizobium banfieldiae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Pseudorhizobium
T07144,rfv,Pseudorhizobium flavum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Pseudorhizobium
T00948,las,Candidatus Liberibacter asiaticus psy62,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Liberibacter
T02506,laa,Candidatus Liberibacter asiaticus gxpsy,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Liberibacter
T03607,lat,Candidatus Liberibacter asiaticus Ishi-1,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Liberibacter
T01373,lso,Candidatus Liberibacter solanacearum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Liberibacter
T02395,lcc,Liberibacter crescens,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Liberibacter
T02902,lar,Candidatus Liberibacter americanus,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Liberibacter
T03953,lau,Candidatus Liberibacter africanus,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Liberibacter
T04278,shz,Shinella sp. HZN7,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Shinella
T07727,szo,Shinella zoogloeoides,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Shinella
T08112,soj,Shinella oryzae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Shinella
T09417,ssum,Shinella sumterensis,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Shinella
T10581,shin,Shinella sp. XGS7,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Shinella
T05798,abaw,Georhizobium profundi,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Georhizobium
T07298,pdes,Peteryoungia desertarenae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Peteryoungia
T03926,hoe,Hoeflea sp. IMCC20628,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Hoeflea
T11168,hoax,Hoeflea alexandrii,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Hoeflea
T10453,asit,Terrirhizobium terrae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Terrirhizobium
T06998,kai,Kaistia sp. 32K,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Kaistia
T00072,bme,Brucella melitensis bv. 1 16M,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03831,bmel,Brucella melitensis bv. 1 16M,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T00867,bmi,Brucella melitensis ATCC 23457,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T01852,bmz,Brucella melitensis M28,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T01849,bmg,Brucella melitensis M5-90,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T01853,bmw,Brucella melitensis NI,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03393,bmee,Brucella melitensis bv. 3 Ether,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T00304,bmf,Brucella abortus 2308,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T00241,bmb,Brucella abortus bv. 1 9-941,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T00703,bmc,Brucella abortus S19,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T01704,baa,Brucella abortus A13334,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03321,babo,Brucella abortus bv. 2 86/8/59,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03392,babr,Brucella abortus bv. 6 870,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03461,babt,Brucella abortus 63 75,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03462,babb,Brucella abortus BDW,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03474,babu,Brucella abortus bv. 9 C68,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03685,babs,Brucella abortus BER,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03686,babc,Brucella abortus NCTC 10505,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T00096,bms,Brucella suis 1330,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T02103,bsi,Brucella suis 1330,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03181,bsf,Brucella suis bv. 1,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03367,bsui,Brucella suis bv. 2 Bs143CITA,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03503,bsup,Brucella suis bv. 2 PT09143,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03504,bsuv,Brucella suis bv. 2 PT09172,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03741,bsuc,Brucella suis bv. 2 Bs364CITA,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T00638,bmt,Brucella suis ATCC 23445,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03266,bsz,Brucella suis bv. 3,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T01706,bsv,Brucella suis VBI22,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03426,bsw,Brucella suis ZW043,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03427,bsg,Brucella suis ZW046,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T00534,bov,Brucella ovis,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T00623,bcs,Brucella canis ATCC 23365,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T01705,bsk,Brucella canis HSK A52141,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03030,bol,Brucella canis Oliveri,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03270,bcar,Brucella canis RM6/66,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03305,bcas,Brucella canis SVA13,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T00955,bmr,Brucella microti,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T01589,bpp,Brucella pinnipedialis B2/94,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03261,bpv,Brucella pinnipedialis 6/566,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T02934,bcet,Brucella ceti TE10759-12,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T02935,bcee,Brucella ceti TE28753-12,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T04257,bvl,Brucella vulpis,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T05682,bru,Brucella sp. 2002734562,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T06323,brj,Brucella sp. 09RB8471,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T06833,oin,Brucella intermedia,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T07095,bio,Brucella inopinata,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T00568,oan,Brucella anthropi ATCC 49188,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T03251,oah,Brucella anthropi OAB,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T04415,ops,Brucella pseudogrignonensis,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T08522,bpsn,Brucella pseudintermedia,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T10240,bruc,Brucella sp. JSBI001,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T10767,brub,Brucella sp. BO3,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Brucella
T07147,ocr,Ochrobactrum sp. MT180101,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Ochrobactrum
T07148,ocl,Ochrobactrum sp. EEELCW01,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Ochrobactrum
T09943,occ,Ochrobactrum sp. BTU1,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Ochrobactrum
T05040,och,Ochrobactrum quorumnocens,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Ochrobactrum
T07380,pscq,Pseudochrobactrum algeriensis,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Pseudochrobactrum
T10521,psxf,Pseudochrobactrum sp. XF203,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Pseudochrobactrum
T00109,bja,Bradyrhizobium diazoefficiens USDA 110,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T01848,bju,Bradyrhizobium japonicum USDA 6,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T03509,bjp,Bradyrhizobium japonicum E109,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T00516,bra,Bradyrhizobium sp. ORS 278,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T00528,bbt,Bradyrhizobium sp. BTAi1,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T01796,brs,Bradyrhizobium cosmicum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T02484,aol,Bradyrhizobium oligotrophicum,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T04273,brc,Bradyrhizobium sp. CCGE-LA001,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T04337,brad,Bradyrhizobium sp. BF49,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T04485,bic,Bradyrhizobium icense,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T04956,bro,Bradyrhizobium sp. ORS 285,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T05325,brk,Bradyrhizobium sp. SK17,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T05524,bot,Bradyrhizobium ottawaense,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T05700,brq,Bradyrhizobium amphicarpaeae,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
T05902,bgq,Bradyrhizobium guangdongense,Prokaryotes,Prokaryotes;Bacteria;Alphaproteobacteria;Bradyrhizobium
