ID,NodeType,weight,definition,evidence,is_obsolete,value_colors,label
GO:0008236,molecular_function,1,Catalysis of the hydrolysis of peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).,"[""http:\/\/merops.sanger.ac.uk\/about\/glossary.htm#CATTYPE"",""ISBN:0716720094""]",false,#9E0142,serine-type peptidase activity
GO:0008237,molecular_function,1,"Catalysis of the hydrolysis of peptide bonds by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.","[""GOC:mah"",""http:\/\/merops.sanger.ac.uk\/about\/glossary.htm#CATTYPE""]",false,#9E0142,metallopeptidase activity
GO:0008238,molecular_function,1,"Catalysis of the hydrolysis of a peptide bond not more than three residues from the N- or C-terminus of a polypeptide chain, in a reaction that requires a free N-terminal amino group, C-terminal carboxyl group or both.",[""http:\/\/merops.sanger.ac.uk\/about\/glossary.htm#EXOPEPTIDASE""],false,#808080,exopeptidase activity
GO:0008270,molecular_function,1,Interacting selectively and non-covalently with zinc (Zn) ions.,[""GOC:ai""],false,#9E0142,zinc ion binding
GO:0008276,molecular_function,1,Catalysis of the transfer of a methyl group (CH3-) to a protein.,"[""GOC:jl"",""ISBN:0198506732""]",false,#B21749,protein methyltransferase activity
GO:0008324,molecular_function,1,Enables the transfer of cation from one side of a membrane to the other.,"[""GOC:dgf"",""GOC:mtg_transport"",""ISBN:0815340729""]",false,#B21749,cation transmembrane transporter activity
GO:0008556,molecular_function,1,Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + K+(out) = ADP + phosphate + K+(in).,[""EC:7.2.2.6""],false,#D53E4F,"potassium transmembrane transporter activity, phosphorylative mechanism"
GO:0008652,biological_process,1,"The chemical reactions and pathways resulting in the formation of amino acids, organic acids containing one or more amino substituents.",[""ISBN:0198506732""],false,#9E0142,cellular amino acid biosynthetic process
GO:0008757,molecular_function,1,Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a substrate.,[""GOC:mah""],false,#C52C4E,S-adenosylmethionine-dependent methyltransferase activity
GO:0008773,molecular_function,1,Catalysis of the reaction: UTP + (protein-PII) = diphosphate + uridylyl-(protein-PII).,[""EC:2.7.7.59""],false,#B21749,[protein-PII] uridylyltransferase activity
GO:0008983,molecular_function,1,Catalysis of the reaction: S-adenosyl-L-methionine + protein L-glutamate = S-adenosyl-L-homocysteine + protein L-glutamate 5-methyl ester; this reaction is the methylation of peptidyl-L-glutamate to form peptidyl-L-glutamate 5-methyl ester.,"[""EC:2.1.1.80"",""RESID:AA0072""]",false,#C52C4E,protein-glutamate O-methyltransferase activity
GO:0008984,molecular_function,1,Catalysis of the reaction: protein L-glutamate O(5)-methyl ester + H2O = protein L-glutamate + methanol.,"[""EC:3.1.1.61"",""RESID:AA0072""]",false,#F98249,protein-glutamate methylesterase activity
GO:0009055,molecular_function,1,Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.,[""ISBN:0198506732""],false,#D53E4F,electron transfer activity
GO:0009056,biological_process,1,"The chemical reactions and pathways resulting in the breakdown of substances, including the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.",[""ISBN:0198547684""],false,#808080,catabolic process
GO:0009057,biological_process,1,"The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.","[""CHEBI:33694"",""GOC:mah""]",false,#808080,macromolecule catabolic process
GO:0009058,biological_process,1,The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.,"[""GOC:curators"",""ISBN:0198547684""]",false,#9E0142,biosynthetic process
GO:0009059,biological_process,1,"The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.","[""CHEBI:33694"",""GOC:mah""]",false,#808080,macromolecule biosynthetic process
GO:0009060,biological_process,1,The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.,"[""GOC:das"",""GOC:jl"",""ISBN:0140513590""]",false,#D53E4F,aerobic respiration
GO:0009064,biological_process,1,"The chemical reactions and pathways involving amino acids of the glutamine family, comprising arginine, glutamate, glutamine and proline.",[""GOC:ai""],false,#808080,glutamine family amino acid metabolic process
GO:0009084,biological_process,1,"The chemical reactions and pathways resulting in the formation of amino acids of the glutamine family, comprising arginine, glutamate, glutamine and proline.",[""GOC:ai""],false,#808080,glutamine family amino acid biosynthetic process
GO:0009117,biological_process,1,"The chemical reactions and pathways involving a nucleotide, a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic nucleotides (nucleoside cyclic phosphates).",[""GOC:ma""],false,#808080,nucleotide metabolic process
GO:0009141,biological_process,1,"The chemical reactions and pathways involving a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,nucleoside triphosphate metabolic process
GO:0009142,biological_process,1,"The chemical reactions and pathways resulting in the formation of a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,nucleoside triphosphate biosynthetic process
GO:0009144,biological_process,1,"The chemical reactions and pathways involving purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,purine nucleoside triphosphate metabolic process
GO:0009145,biological_process,1,"The chemical reactions and pathways resulting in the formation of purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,purine nucleoside triphosphate biosynthetic process
GO:0009150,biological_process,1,"The chemical reactions and pathways involving a purine ribonucleotide, a compound consisting of ribonucleoside (a purine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,purine ribonucleotide metabolic process
GO:0009152,biological_process,1,"The chemical reactions and pathways resulting in the formation of a purine ribonucleotide, a compound consisting of ribonucleoside (a purine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,purine ribonucleotide biosynthetic process
GO:0009165,biological_process,1,"The chemical reactions and pathways resulting in the formation of nucleotides, any nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic-nucleotides (nucleoside cyclic phosphates).",[""GOC:go_curators""],false,#808080,nucleotide biosynthetic process
GO:0009199,biological_process,1,"The chemical reactions and pathways involving a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,ribonucleoside triphosphate metabolic process
GO:0009201,biological_process,1,"The chemical reactions and pathways resulting in the formation of a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,ribonucleoside triphosphate biosynthetic process
GO:0009205,biological_process,1,"The chemical reactions and pathways involving purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,purine ribonucleoside triphosphate metabolic process
GO:0009206,biological_process,1,"The chemical reactions and pathways resulting in the formation of purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,purine ribonucleoside triphosphate biosynthetic process
GO:0009251,biological_process,1,"The chemical reactions and pathways resulting in the breakdown of glucans, polysaccharides consisting only of glucose residues.",[""GOC:go_curators""],false,#808080,glucan catabolic process
GO:0009259,biological_process,1,"The chemical reactions and pathways involving a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,ribonucleotide metabolic process
GO:0009260,biological_process,1,"The chemical reactions and pathways resulting in the formation of a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar.","[""GOC:go_curators"",""ISBN:0198506732""]",false,#808080,ribonucleotide biosynthetic process
GO:0009288,cellular_component,1,A motor complex composed of an extracellular helical protein filament coupled to a rotary motor embedded in the cell envelope.,"[""GOC:cilia"",""GOC:jh2"",""GOC:krc"",""GOC:mtg_sensu"",""http:en.wikipedia.org\/wiki\/Flagellum#Bacterial"",""PMID:7787060""]",false,#808080,bacterial-type flagellum
GO:0009289,cellular_component,1,A proteinaceous hair-like appendage on the surface of bacteria ranging from 2-8 nm in diameter.,[""GOC:pamgo_curators""],false,#D53E4F,pilus
GO:0009399,biological_process,1,"The process in which nitrogen is taken from its relatively inert molecular form (N2) in the atmosphere and converted into nitrogen compounds useful for other chemical processes, such as ammonia, nitrate and nitrogen dioxide.",[""Wikipedia:Nitrogen_fixation""],false,#C52C4E,nitrogen fixation
GO:0009405,biological_process,1,"The set of specific processes that generate the ability of an organism to induce an abnormal, generally detrimental state in another organism.",[""GOC:go_curators""],false,#ED5C45,pathogenesis
GO:0009420,cellular_component,1,"The long (approximately 20 nm), thin external structure of the bacterial-type flagellum, which acts as a propeller.","[""GOC:cilia"",""GOC:mtg_sensu"",""PMID:10572114"",""PMID:12624192""]",false,#B21749,bacterial-type flagellum filament
GO:0009605,biological_process,1,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus.",[""GOC:hb""],false,#808080,response to external stimulus
GO:0009889,biological_process,1,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances.",[""GOC:go_curators""],false,#808080,regulation of biosynthetic process
GO:0009890,biological_process,1,"Any process that stops, prevents, or reduces the rate of the chemical reactions and pathways resulting in the formation of substances.",[""GOC:go_curators""],false,#808080,negative regulation of biosynthetic process
GO:0009891,biological_process,1,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances.",[""GOC:go_curators""],false,#808080,positive regulation of biosynthetic process
GO:0009892,biological_process,1,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism.",[""GOC:go_curators""],false,#808080,negative regulation of metabolic process
GO:0009893,biological_process,1,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism.",[""GOC:go_curators""],false,#808080,positive regulation of metabolic process
GO:0009987,biological_process,1,"Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level.","[""GOC:go_curators"",""GOC:isa_complete""]",false,#808080,cellular process
GO:0010340,molecular_function,1,Catalysis of the transfer of a methyl group to the carboxyl group of an acceptor molecule to form a methyl ester.,[""PMID:17220201""],false,#C52C4E,carboxyl-O-methyltransferase activity
GO:0010467,biological_process,1,The process in which a gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.,"[""GOC:dph"",""GOC:tb""]",false,#808080,gene expression
GO:0010468,biological_process,1,"Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.","[""GOC:dph"",""GOC:tb""]",false,#F98249,regulation of gene expression
GO:0010556,biological_process,1,"Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.","[""GOC:dph"",""GOC:tb""]",false,#808080,regulation of macromolecule biosynthetic process
GO:0010557,biological_process,1,"Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.","[""GOC:dph"",""GOC:tb""]",false,#808080,positive regulation of macromolecule biosynthetic process
GO:0010558,biological_process,1,"Any process that decreases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.","[""GOC:dph"",""GOC:tb""]",false,#808080,negative regulation of macromolecule biosynthetic process
GO:0010604,biological_process,1,"Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.","[""GOC:dph"",""GOC:tb""]",false,#808080,positive regulation of macromolecule metabolic process
GO:0010605,biological_process,1,"Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.","[""GOC:dph"",""GOC:tb""]",false,#808080,negative regulation of macromolecule metabolic process
GO:0010608,biological_process,1,"Any process that modulates the frequency, rate or extent of gene expression after the production of an RNA transcript.","[""GOC:dph"",""GOC:tb""]",false,#808080,posttranscriptional regulation of gene expression
GO:0010628,biological_process,1,"Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.","[""GOC:dph"",""GOC:tb""]",false,#808080,positive regulation of gene expression
GO:0010629,biological_process,1,"Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.","[""GOC:dph"",""GOC:tb""]",false,#808080,negative regulation of gene expression
GO:0015031,biological_process,1,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",[""GOC:ai""],false,#9E0142,protein transport
GO:0015075,molecular_function,1,Enables the transfer of an ion from one side of a membrane to the other.,"[""GOC:dgf"",""GOC:mtg_transport"",""ISBN:0815340729""]",false,#9E0142,ion transmembrane transporter activity
GO:0015077,molecular_function,1,Enables the transfer of a inorganic cations with a valency of one from one side of a membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage.,"[""GOC:ai"",""GOC:mtg_transport"",""ISBN:0815340729""]",false,#808080,monovalent inorganic cation transmembrane transporter activity
GO:0015079,molecular_function,1,Enables the transfer of potassium ions (K+) from one side of a membrane to the other.,[""GOC:ai""],false,#C52C4E,potassium ion transmembrane transporter activity
GO:0015291,molecular_function,1,"Enables the transfer of a solute from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy, not direct ATP coupling. Secondary active transporters include symporters and antiporters.","[""GOC:mtg_transport"",""ISBN:0198506732"",""ISBN:0815340729"",""PMID:10839820""]",false,#808080,secondary active transmembrane transporter activity
GO:0015293,molecular_function,1,Enables the active transport of a solute across a membrane by a mechanism whereby two or more species are transported together in the same direction in a tightly coupled process not directly linked to a form of energy other than chemiosmotic energy.,"[""GOC:mtg_transport"",""ISBN:0815340729"",""PMID:10839820""]",false,#B21749,symporter activity
GO:0015318,molecular_function,1,Enables the transfer of an inorganic molecular entity from the outside of a cell to the inside of the cell across a membrane. An inorganic molecular entity is a molecular entity that contains no carbon.,"[""GOC:mtg_transport"",""ISBN:0815340729""]",false,#808080,inorganic molecular entity transmembrane transporter activity
GO:0015399,molecular_function,1,"Enables the transfer of a solute from one side of a membrane to the other, up the solute's concentration gradient, by binding the solute and undergoing a series of conformational changes. Transport works equally well in either direction and is powered by a primary energy source, directly using ATP. Primary energy sources known to be coupled to transport are chemical, electrical and solar sources.","[""GOC:mtg_transport"",""ISBN:0815340729"",""TC:3.-.-.-.-""]",false,#808080,primary active transmembrane transporter activity
GO:0015562,molecular_function,1,Enables the transfer of a specific substance or related group of substances from the inside of the cell to the outside of the cell across a membrane.,"[""GOC:ai"",""GOC:mtg_transport"",""ISBN:0815340729""]",false,#9E0142,efflux transmembrane transporter activity
GO:0015662,molecular_function,1,"Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O = ADP + phosphate, to directly drive the transport of ions across a membrane. The reaction is characterized by the transient formation of a high-energy aspartyl-phosphoryl-enzyme intermediate.","[""PMID:10322420"",""PMID:10600683""]",false,#808080,"ion transmembrane transporter activity, phosphorylative mechanism"
GO:0015672,biological_process,1,"The directed movement of inorganic cations with a valency of one into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Inorganic cations are atoms or small molecules with a positive charge which do not contain carbon in covalent linkage.",[""GOC:ai""],false,#808080,monovalent inorganic cation transport
GO:0015698,biological_process,1,"The directed movement of inorganic anions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Inorganic anions are atoms or small molecules with a negative charge which do not contain carbon in covalent linkage.",[""GOC:krc""],false,#808080,inorganic anion transport
GO:0015711,biological_process,1,"The directed movement of organic anions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Organic anions are atoms or small molecules with a negative charge which contain carbon in covalent linkage.","[""GOC:ai"",""GOC:krc""]",false,#808080,organic anion transport
GO:0015833,biological_process,1,"The directed movement of peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",[""GOC:ai""],false,#808080,peptide transport
GO:0015849,biological_process,1,"The directed movement of organic acids, any acidic compound containing carbon in covalent linkage, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",[""ISBN:0198506732""],false,#808080,organic acid transport
GO:0015980,biological_process,1,The chemical reactions and pathways by which a cell derives energy from organic compounds; results in the oxidation of the compounds from which energy is released.,[""GOC:mah""],false,#808080,energy derivation by oxidation of organic compounds
GO:0015985,biological_process,1,The transport of protons across a membrane to generate an electrochemical gradient (proton-motive force) that provides energy for the synthesis of ATP or GTP.,[""GOC:mah""],false,#808080,"energy coupled proton transport, down electrochemical gradient"
GO:0015986,biological_process,1,The transport of protons across a membrane to generate an electrochemical gradient (proton-motive force) that powers ATP synthesis.,[""ISBN:0716731363""],false,#808080,ATP synthesis coupled proton transport
GO:0016020,cellular_component,1,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,"[""GOC:dos"",""GOC:mah"",""ISBN:0815316194""]",false,#9E0142,membrane
GO:0016021,cellular_component,1,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,"[""GOC:dos"",""GOC:go_curators""]",false,#F46D43,integral component of membrane
GO:0016043,biological_process,1,"A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component.","[""GOC:ai"",""GOC:jl"",""GOC:mah""]",false,#808080,cellular component organization
GO:0016052,biological_process,1,"The chemical reactions and pathways resulting in the breakdown of carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y.",[""ISBN:0198506732""],false,#9E0142,carbohydrate catabolic process
GO:0016053,biological_process,1,"The chemical reactions and pathways resulting in the formation of organic acids, any acidic compound containing carbon in covalent linkage.",[""ISBN:0198506732""],false,#808080,organic acid biosynthetic process
GO:0016070,biological_process,1,"The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage.",[""ISBN:0198506732""],false,#D53E4F,RNA metabolic process
GO:0016071,biological_process,1,"The chemical reactions and pathways involving mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes.",[""ISBN:0198506732""],false,#808080,mRNA metabolic process
GO:0016211,molecular_function,1,"Catalysis of the ligation of ammonia (NH3) to another substance via a carbon-nitrogen bond with concomitant breakage of a diphosphate linkage, usually in a nucleoside triphosphate.",[""GOC:jl""],false,#808080,ammonia ligase activity
GO:0016301,molecular_function,1,"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule.",[""ISBN:0198506732""],false,#F46D43,kinase activity
GO:0016310,biological_process,1,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide.",[""ISBN:0198506732""],false,#808080,phosphorylation
GO:0016311,biological_process,1,The process of removing one or more phosphoric (ester or anhydride) residues from a molecule.,[""ISBN:0198506732""],false,#808080,dephosphorylation
GO:0016462,molecular_function,1,"Catalysis of the hydrolysis of a pyrophosphate bond between two phosphate groups, leaving one phosphate on each of the two fragments.","[""EC:3.6.1.-"",""GOC:curators""]",false,#9E0142,pyrophosphatase activity
GO:0016491,molecular_function,1,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.",[""GOC:go_curators""],false,#9E0142,oxidoreductase activity
GO:0016627,molecular_function,1,Catalysis of an oxidation-reduction (redox) reaction in which a CH-CH group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.,[""GOC:ai""],false,#9E0142,"oxidoreductase activity, acting on the CH-CH group of donors"
GO:0016679,molecular_function,1,Catalysis of an oxidation-reduction (redox) reaction in which a diphenol or related substance acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.,[""GOC:ai""],false,#808080,"oxidoreductase activity, acting on diphenols and related substances as donors"
GO:0016681,molecular_function,1,"Catalysis of an oxidation-reduction (redox) reaction in which a diphenol, or related compound, acts as a hydrogen or electron donor and reduces a cytochrome.",[""GOC:jl""],false,#808080,"oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor"
GO:0016740,molecular_function,1,"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.",[""ISBN:0198506732""],false,#C52C4E,transferase activity
GO:0016741,molecular_function,1,Catalysis of the transfer of a one-carbon group from one compound (donor) to another (acceptor).,"[""GOC:jl"",""ISBN:0198506732""]",false,#808080,"transferase activity, transferring one-carbon groups"
GO:0016746,molecular_function,1,Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor).,"[""GOC:jl"",""ISBN:0198506732""]",false,#9E0142,"transferase activity, transferring acyl groups"
GO:0016747,molecular_function,1,"Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor).",[""GOC:jl""],false,#9E0142,"transferase activity, transferring acyl groups other than amino-acyl groups"
GO:0016772,molecular_function,1,Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor).,"[""GOC:jl"",""ISBN:0198506732""]",false,#808080,"transferase activity, transferring phosphorus-containing groups"
GO:0016773,molecular_function,1,Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to an alcohol group (acceptor).,[""GOC:jl""],false,#FC9854,"phosphotransferase activity, alcohol group as acceptor"
GO:0016775,molecular_function,1,Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to a nitrogenous group (acceptor).,[""GOC:jl""],false,#808080,"phosphotransferase activity, nitrogenous group as acceptor"
GO:0016779,molecular_function,1,Catalysis of the transfer of a nucleotidyl group to a reactant.,[""ISBN:0198506732""],false,#B21749,nucleotidyltransferase activity
GO:0016787,molecular_function,1,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.",[""ISBN:0198506732""],false,#9E0142,hydrolase activity
GO:0016788,molecular_function,1,Catalysis of the hydrolysis of any ester bond.,[""GOC:jl""],false,#C52C4E,"hydrolase activity, acting on ester bonds"
GO:0016791,molecular_function,1,"Catalysis of the hydrolysis of phosphoric monoesters, releasing inorganic phosphate.","[""EC:3.1.3"",""GOC:curators"",""GOC:pg""]",false,#B21749,phosphatase activity
GO:0016798,molecular_function,1,Catalysis of the hydrolysis of any glycosyl bond.,[""GOC:jl""],false,#9E0142,"hydrolase activity, acting on glycosyl bonds"
GO:0016805,molecular_function,1,Catalysis of the hydrolysis of a dipeptide.,[""http:\/\/www.onelook.com""],false,#B21749,dipeptidase activity
GO:0016817,molecular_function,1,Catalysis of the hydrolysis of any acid anhydride.,[""GOC:jl""],false,#808080,"hydrolase activity, acting on acid anhydrides"
GO:0016818,molecular_function,1,Catalysis of the hydrolysis of any acid anhydride which contains phosphorus.,[""GOC:jl""],false,#9E0142,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
GO:0016825,molecular_function,1,Catalysis of the hydrolysis of any acid phosphorus-nitrogen bond.,[""GOC:jl""],false,#808080,"hydrolase activity, acting on acid phosphorus-nitrogen bonds"
GO:0016874,molecular_function,1,"Catalysis of the joining of two substances, or two groups within a single molecule, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.","[""EC:6"",""GOC:mah""]",false,#9E0142,ligase activity
GO:0016879,molecular_function,1,"Catalysis of the joining of two molecules, or two groups within a single molecule, via a carbon-nitrogen bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.","[""EC:6.3"",""GOC:mah""]",false,#B21749,"ligase activity, forming carbon-nitrogen bonds"
GO:0016880,molecular_function,1,"Catalysis of the ligation of an acid to ammonia (NH3) or an amide via a carbon-nitrogen bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.","[""GOC:jl"",""GOC:mah""]",false,#808080,acid-ammonia (or amide) ligase activity
GO:0016887,molecular_function,1,Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.,"[""EC:3.6.1.3"",""GOC:jl""]",false,#9E0142,ATPase activity
GO:0016987,molecular_function,1,"Sigma factors act as the promoter specificity subunit of eubacterial and plant plastid multisubunit RNA polymerases, whose core subunit composition is often described as alpha(2)-beta-beta-prime. Although sigma does not bind DNA on its own, when combined with the core to form the holoenzyme, the sigma factor binds specifically to promoter elements. The sigma subunit is released once elongation begins.",[""GOC:txnOH-2018""],false,#C52C4E,sigma factor activity
GO:0017076,molecular_function,1,"Interacting selectively and non-covalently with purine nucleotides, any compound consisting of a purine nucleoside esterified with (ortho)phosphate.",[""GOC:ai""],false,#808080,purine nucleotide binding
GO:0017111,molecular_function,1,Catalysis of the reaction: a nucleoside triphosphate + H2O = nucleoside diphosphate + phosphate.,[""EC:3.6.1.15""],false,#9E0142,nucleoside-triphosphatase activity
